sources,references,translations
"He didn't move, his gaze fixed on the bar ceiling.","Il ne bougea pas, le regard fixé sur le plafond du bar.","Ça ne bougeait pas, son regard fixé sur le plafond du bar."
I spit this out like some jilted lover.,Je crache ça comme un amoureux éconduit.,Ça me sort comme un amant rejeté.
"I've paired it with a soft pair of black corduroys that he hasn't seen yet, but I thank him for the compliment.","Je l'ai associé à un pantalon en velours côtelé noir qu'il n'a pas encore vu, mais je le remercie pour le compliment.","Ça va avec un jean noir doux en corduroy qu'il n'a pas encore vu, mais je lui remercie du compliment."
"He was so sure.""",Il en était si sûr.,Ça lui semblait si sûr.
"To his credit, he slaps a hand over his mouth.","À sa décharge, il porte une main sur sa bouche.","Ça lui vaut du crédit, il pose une main sur sa bouche."
Would he ever get control of the rage inside him?,Parviendra-t-il un jour à contrôler la rage qui l'habitait ?,Ça lui arriverait-il de maîtriser la rage qui le dévore ?
His stomach knotted at the doubt that swirled around him.,Son estomac se noua devant le doute qui l'envahissait.,Son estomac se noua sous le doute qui l'entourait.
She should slip under and swim away.,Elle devrait se glisser sous l'eau et s'enfuir à la nage.,Ça lui fallait de se glisser sous l'eau et de nager loin.
"""Well, surely he had it painted before he died.""",Il l'a sûrement fait peindre avant de mourir.,"Ça va, il l'avait certainement peint avant de mourir."
Talking about my childhood illicits foreign sensations.,Parler de mon enfance provoque des sensations étranges.,Être questionné sur mon enfance me fait ressentir des sensations étrangères.
"He wasn't sure what hurt more, his head or his ribs, but at that moment, he wished the asshole that attacked him had finished the fucking job and put him out of his misery.","Mais, à cet instant, il aurait aimé que le connard qui l'avait agressé ait fini le boulot et mette fin à ses souffrances.","Ça lui était difficile de savoir si c'était sa tête ou ses côtes qui lui faisaient le plus de mal, mais à ce moment-là, il souhaitait que l'assassin qui l'avait attaqué ait fini le travail et l'eût mis hors de ses souffrances."
He tasted the zinc that his mother had insisted he put on his nose and that always melted and dribbled down into his mouth.,Il goûta la crème solaire que sa mère insistait pour qu'il mette sur son nez et qui finissait par fondre et couler dans sa bouche.,Ça tait le zinc que sa mère lui avait insisté pour mettre sur le nez et qui se fondait et coulait dans sa bouche.
She stood between him and the ocean like a lifeguard station or lighthouse.,"Elle se tenait entre lui et l'océan, comme un poste de sauvetage ou un phare.",Ça lui faisait office d'une station de sauvetage ou d'un phare.
"""Nothing is stopping you from moving the carpentry to part-time, maybe on the weekends or something.""","Rien ne t'empêche de passer la menuiserie à temps partiel, peut-être le week-end ou quelque chose comme ça.","Ça ne te fait pas de mal de passer la menuiserie à temps partiel, peut-être les week-ends ou quelque chose."
That really would have been too much to take.,Cela aurait été vraiment trop dur à supporter.,Ça aurait été trop pour moi.
"""No,"" he says, grabbing my hand.","Non, dit-il en m'attrapant la main.","Non, dit-il en s'emparant de ma main."
I plaster on a smile and move away from them as he hands me a pint glass filled with a golden liquid.,J'esquisse un sourire et m'éloigne d'elles tandis qu'il me tend un verre rempli d'un liquide doré.,Je me détache d'eux en me frottant le visage et il me tend un verre de bière rempli d'un liquide doré.
Chase had told her they would get through the storm togetherthat was the sweet and protective man she loved.,Chase lui avait dit qu'ils traverseraient la tempête ensemble  c'était l'homme doux et protecteur qu'elle aimait.,Ça faisait partie de l'homme doux et protecteur qu'elle aimait.
Mine is practically immobilized inside his grasp.,La mienne est pratiquement immobilisée dans son emprise.,Ça est presque immobilisé dans sa griffe.
"After a last look around, she flipped off the shop's main lights.","Après avoir jeté un dernier coup d'œil autour d'elle, elle éteignit les lumières principales de la boutique.","Ça lui donnait une dernière fois la possibilité de regarder autour d'elle, puis elle éteignit les lumières principales du magasin."
He wanted to hold her close and listen to her laughter and share in her happiness.,"Il voulait la serrer contre lui, écouter ses rires et partager son bonheur.",Ça lui faisait envie de la tenir près de lui et d'écouter son rire et de partager sa joie.
"She stepped up into the cart, tipping it forward and setting it swaying and creaking.","Elle monta dans la cabine, la faisant basculer vers l'avant et la faisant osciller et grincer.","Ça lui fit prendre de l'élan, la faisant avancer et s'incliner, craquant."
"And your mother is holding up his end of the bargain, as she should.","Et ta mère tient sa part du marché, comme il se doit.","Ça va, et ta mère tient sa promesse, comme elle devrait le faire."
"""Did I mention that I really need to use the bathroom?"" she asked, sending the bathroom a hopeful look.",Ai-je mentionné que j'ai vraiment besoin d'aller aux toilettes ?,"Ça me dit que je dois vraiment aller aux toilettes, dit-elle en envoyant un regard espérant au salon de bains."
I let you rescue him.,Je t'ai laissé le sauver.,Ça m'a permis de le sauver.
But he's looking at me like it's the first time.,Mais il me regarde comme si c'était la première fois.,Ça lui fait l'effet d'une première fois.
"I have better things to do than to waste my time worrying about what other people think.""",J'ai mieux à faire que de perdre mon temps à savoir ce que pensent les autres.,Ça me fait mieux que de perdre mon temps à me soucier de ce que pensent les autres.
The smile he gives me leaves me uncharacteristically breathless.,Le sourire qu'il m'adresse me laisse sans voix.,"Ça me laisse un peu sans souffle, ce sourire qu'il me donne."
"I can totally picture John Burton as a teacher, he has the personality for it.","Je peux tout à fait imaginer John Burton comme professeur, il a la personnalité qu'il faut.","Ça me fait totalement penser à John Burton en professeur, il a le caractère pour ça."
"""We'll have a big party before I close for good.",Nous ferons une grande fête avant de fermer pour de bon.,Ça va être une grande fête avant que je ne ferme pour de bon.
Hurricane Giselle was nothing to fool around with.,L'ouragan Giselle n'était pas à prendre à la légère.,Ça faisait 24 heures que le cyclone Giselle menaçait de détruire tout sur son passage.
"Oh, that couldn't be good, she thought when she saw the puddle forming on the floor around her.","Oh, ça ne présageait rien de bon, pensa-t-elle en voyant la flaque qui se formait sur le sol autour d'elle.","Ça ne pouvait pas être bon, pensa-t-elle lorsqu'elle vit la formation d'un petit lac autour d'elle."
"We can duck out for a little while, yeah?""","On peut s'éclipser un moment, d'accord ?","Ça fait un peu de temps que je ne suis pas allé au cinéma, alors on peut s'en aller un peu, oui ?"
"I have to make sure the bar's safe first.""",Je dois d'abord m'assurer que le bar est sécurisé.,Ça fait que je dois d'abord s'assurer que le bar est en sécurité.
No more...anything.,Plus rien.,Ça suffit...
"Maybe some Joy Division, a little Sigur Ros, a bit of Bilal, definitely James Blake.","Peut-être un peu de Joy Division, un peu de Sigur Ros, un peu de Bilal, certainement du James Blake.","Ça pourrait être du Joy Division, un peu de Sigur Rós, un peu de Bilal, et définitivement James Blake."
Want to know how those wine-stained lips of yours might taste.,Connaître le goût de tes lèvres colorées par le vin.,Ça te fait envie de savoir comment ces lèvres teintées de vin pourraient goûter.
"In the peace and calm of the eye of life's ever-growing hurricane, they'd found a moment.","Dans la paix et le calme de l'œil de l'ouragan de la vie, ils avaient trouvé un moment.","Dans la paix et le calme du centre de la tempête qui grandit sans cesse, ils avaient trouvé un moment."
"At least she had everything that she needed, Andi thought as she reached down and grabbed her iPad and the notebook that she'd been working on along with a carefully select assortment of pens that she'd helped herself to from the supply closet at work, only to realize that she'd left her phone at home.","Au moins, elle avait tout ce dont elle avait besoin, pensa Andi en se penchant pour attraper son iPad et le carnet sur lequel elle travaillait, ainsi qu'un assortiment de stylos soigneusement sélectionnés qu'elle s'était procuré dans le placard à fournitures du bureau, avant de réaliser qu'elle avait laissé son téléphone à la maison.","Ça faisait au moins qu'elle avait tout ce qu'elle avait besoin, pensa Andi en s'approchant de sa tablette et de son cahier de notes qu'elle avait en train de remplir, ainsi qu'une sélection soigneusement choisie de stylo qu'elle s'était approprié dans le placard de fournitures à l'entreprise, avant de se rendre compte qu'elle avait laissé son téléphone à la maison."
It wasn't going to stop him from making sure that the little bastard paid for what he did to Andi.,Ça ne l'empêcherait pas de s'assurer que ce petit salaud paie pour ce qu'il a fait à Andi.,Ça ne l'empêcherait pas de s'assurer que ce petit salaud payait pour ce qu'il avait fait à Andi.
"""I'm going to run and see if I can get the fire department.",Je vais courir et voir si je peux appeler les pompiers.,"Ça va, je vais courir et voir si je peux appeler les pompiers."
It's suddenly the most important thing in the world.,C'est soudain la chose la plus importante au monde.,Ça devient soudain la chose la plus importante du monde.
It's been a rough twenty-four hours.,Les dernières vingt-quatre heures ont été difficiles.,Ça a été dur les vingt-quatre dernières heures.
"The shop was the first thing she could truly call her own, and now it was at risk.","Le magasin était la première chose qu'elle pouvait vraiment appeler la sienne, et maintenant il était en danger.","Ça faisait partie de ce qu'elle pouvait vraiment appeler la sienne, et maintenant, elle était en danger."
She would certainly bear Chase's kids.,Elle porterait certainement les enfants de Chase.,"Ça ne serait pas de son goût, mais elle porterait certainement les enfants de Chase."
"""It's going to be very cold out there, Miss Dawson,"" Devyn said, watching as his favorite place on earth was slowly revealed.","Il va faire très froid dehors, Mlle Dawson, dit Devyn, en regardant son endroit préféré sur Terre se dévoiler progressivement.","Ça va être très froid dehors, Mlle Dawson, dit Devyn en regardant sa place préférée sur Terre se révéler lentement."
"She drew her knees up and circled them with her arms, squeezing as tight as she could.","Elle remonta ses genoux et les entoura de ses bras, serrant aussi fort qu'elle le pouvait.","Elle fit monter ses genoux et les cercla de ses bras, serrant autant qu'elle pouvait."
This stops me mid-chew.,Cela m'arrête en plein milieu de  ma mastication.,Ça me fait arrêter de mâcher.
The sea beckoned her.,La mer l‘appelait.,L'océan lui faisait signe.
"I'm shaking, held up by John, who doesn't seem to have full control over his body either.","Je tremble, soutenu par John qui, lui non plus, ne semble pas avoir le contrôle total de son corps.","Ça me tremble, je suis soutenu par John, qui ne semble pas avoir le contrôle total de son corps."
My breath leaves me.,Mon souffle me quitte.,Ça me quitte.
"He wasn't muscular in the same way as Chase, but thick and solid.","Il n'était pas aussi musclé que Chase, mais il était fort et massif.","Ça ne faisait pas de lui un homme musclé comme Chase, mais épais et solide."
"What I'm about to do is invasive, I know, but...","Ce que je vais faire est invasif, je le sais, mais...","Ça va être invasif, je le sais, mais..."
"""I see,"" Devyn murmured, applying the last bandage.","Je vois, murmura Devyn en appliquant le dernier bandage.","Ça va, murmura Devyn en appliquant le dernier bandage."
"""Let me talk.""",Laisse-moi parler.,Ça me permet de parler.
"""Look at the domain.",Regarde le nom de domaine.,Ça regarde le domaine.
"He took a deep breath, focusing on the inhale, and then the exhale.","Il inspira profondément, se concentrant sur l'inspiration, puis sur l'expiration.","Ça lui fit prendre une profonde inspiration, se concentrant sur l'inspiration, puis sur l'expiration."
"I stretch out beside him, draw his leg up and drape it over mine.","Je m'étire à côté de lui, remonte sa jambe et la fait  passer par-dessus la mienne.","Je me tends à côté de lui, leve son jambage et le plie sur le mien."
"""They're mostly in awe of you,"" he says, his voice taking on that honeyed timber he'd had when he asked me out on this date.","Ils sont surtout en admiration devant toi, dit-il, sa voix prenant ce timbre mielleux qu'il avait lorsqu'il m'a demandé de sortir avec lui.","Ça, c'est surtout de l'admiration, dit-il, la voix prenant l'accent doux qu'il avait lorsqu'il m'avait demandé de sortir avec lui ce soir."
"My style could be called dormitory chic, my flat furnished with a collection of mismatched pieces acquired over the life of my residency.","Mon style pourrait être qualifié de dortoir chic, mon appartement étant meublé d'une collection de pièces dépareillées acquises depuis que j'ai signé le bail.","Ça pourrait être qualifié de style ""chic des résidences"", mon appartement meublé d'une collection de meubles incohérents achetés au fil de ma résidence."
"""Yes, daughter.","Oui, ma fille.","Ça va, ma fille."
"My ass, my thighs, the muscles of my back melt under John's ministrations.","Mon cul, mes cuisses, les muscles de mon dos fondent sous les doigts de John.","Ça fait fondre mon cul, mes cuisses, les muscles de mon dos sous les soins de John."
"He is so fucking beautiful, my heart hurts.","Il est si beau, putain, que j'en ai mal au cœur.","Ça fait si bien, que mon cœur meurt."
"""You're gorgeous,"" John breathes, leaning forward.","Tu es magnifique, souffle John en se penchant en avant.","Ça fait un beau, dit John, se penchant en avant."
This is why I'm not cut out for relationships.,Voilà pourquoi je ne suis pas fait pour les relations.,Ça explique pourquoi je ne suis pas fait pour les relations.
"""How the hell did we miss that?""",Comment diable avons-nous pu rater ça,"Ça fait quoi, nous avons manqué de voir ça ?"
"She began to sob gently, covering her face with her hands.","Elle se mit à sangloter doucement, se couvrant le visage de ses mains.","Ça commença à pleurer doucement, couvrant son visage de ses mains."
If he got stranded on the island during the storm...,S'il se retrouvait bloqué sur l'île pendant la tempête...,Si il était coincé sur l'île pendant la tempête...
Not to accept that he can see me so clearly.,De ne pas accepter qu'il lise en moi si clairement.,Ça ne veut pas dire que je peux le voir si clairement.
His fingers were sore and stiff from the wood's rough assault.,Ses doigts étaient endoloris et raides à cause de la rugosité du bois.,Ses doigts étaient douloureux et rigides à cause de l'assaut brutal du bois.
"You should have been paying attention to the news.""",Tu aurais dû faire attention aux informations.,Ça aurait dû te faire attention aux nouvelles.
"""Yes,"" he bit out, watching as her lips twitched.","Oui, dit-il sèchement en regardant les lèvres de la jeune femme se contracter.","Ça va, dit-il, regardant ses lèvres se contorsionner."
I laugh and shake my head.,Je ris et secoue la tête.,Ça me fait rire et je secoue la tête.
