sources,references,translations
"When I'm with someone, I want to share the good and the bad.","Quand je suis avec quelqu'un, je veux partager les bons et les mauvais moments.",Ça m'aide à me comprendre.
"""You have a lot of eighties music here,"" John observes.","Tu as beaucoup de musique des années 80, observe John.","Ça y a beaucoup de musique des années 80, remarque John."
"I can escape with little effort.""",Je peux m'échapper sans trop d'efforts.,Ça me permet de m'échapper avec peu d'efforts.
"At some spots, the island was so narrow you could throw a stone from the sound side to the waves.","À certains endroits, l'île était si étroite que l'on pouvait jeter une pierre sur les vagues du rivage et elle atterrirait dans les profondeurs.",Ça faisait si peu de large à certains endroits que vous pouviez jeter une pierre du côté du bruit vers les vagues.
"""When I finish up here.",Quand j'aurai fini ici.,"Ça, quand je finirai ici."
How could her mother ever expect her to marry someone like Inna?,Comment sa mère avait-t-elle pu s'attendre à ce qu'elle épouse quelqu'un comme Inna ?,"Ça, comment son mère pouvait-elle l'attendre à épouser quelqu'un comme Inna ?"
A real kiss.,Un vrai baiser.,"Ça, c'est un vrai baiser."
It also got me my gig as a disc jockey.,C'est aussi ce qui m'a permis de devenir disc-jockey.,Ça m'a aussi permis de devenir DJ.
"""No!"" came the hysterical reply that had him sighing heavily as he reached down and grabbed hold of the comforter and slowly pulled it off the woman that refused to leave the hotel.","une pointe d'hystérie dans la voix, ce qui le fit soupirer lourdement en attrapant la couette et en la retirant lentement à la femme qui refusait de quitter l'hôtel","Non ! répondit-elle hystériquement, ce qui le fit soupirer lourdement, tandis qu'il tendait la main et attrapait la couverture, puis la retirait lentement de la femme qui refusait de quitter l'hôtel."
The wind and rain had been scarier than she'd ever experienced.,Le vent et la pluie avaient été plus effrayants qu'ils ne lui étaient jamais apparus.,Ça faisait plus de vent et de pluie que tout ce qu'elle avait jamais vécu.
He'd been there that day when she had come upon the divers.,Il était là ce jour-là quand elle avait rencontré les plongeurs.,"Ça a été le jour même, quand elle avait rencontré les plongeurs."
"""Amelia never remarried but lived on the bounty Christopher had stored and hidden on the island.",Amelia ne s'est jamais remariée mais a vécu grâce à la prime que Christopher avait stockée et cachée sur l'île.,"Amelia ne se remaria jamais, mais elle vécut grâce à la récompense que Christopher avait stockée et cachée sur l'île."
"""Only bloody thing they ever gave me,"" I murmur.","C'est la seule chose qu'ils m'aient jamais donnée , murmuré-je.","Ça, c'est la seule chose qu'ils m'aient donnée, murmuré-je."
"""Tell me you didn't, please!""","Dis-moi que tu ne l'as pas fait, s'il te plaît !","Ça, dis-moi que tu n'as pas fait ça, s'il te plaît !"
"The wind whipped by, catching the hem of his T-shirt in a flutter, exposing his firm abdomen for a too-brief moment.","Le vent soufflait en trombe, faisant voltiger l'ourlet de son tee-shirt, dévoilant son abdomen ferme pendant un trop bref instant.","Le vent passa, attrapant le bord de son tee-shirt dans un mouvement de pli, révélant son ventre ferme pendant un instant trop court."
"You never would.""",Tu ne le ferais jamais.,Ça ne te ferait jamais.
Then they were separatedpossibly foreverto save her life.,Puis ils ont été séparés  peut-être pour toujours  afin de lui sauver la vie.,Ça les sépara  peut-être pour toujours  pour sauver sa vie.
"""I would probably quake in fear for the rest of my life at the mere mention of your name,"" Devyn said dryly as he watched her return to glaring at him as she hastily toed off her slippers and kicked them aside, determined to make sure that he was properly terrified.","Je tremblerais probablement de peur pour le reste de ma vie à la simple mention de ton nom, dit Devyn d'un ton moqueur en la regardant se remettre à le fixer du regard tandis qu'elle enlevait précipitamment ses pantoufles et les écartait d'un coup de pied, bien décidée à s'assurer qu'il était bien terrifié.","Ça me fait probablement trembler de peur le reste de ma vie à la simple mention de ton nom, dit Devyn sèchement en la regardant retourner à lui glacer, elle enleva rapidement ses mules et les jeta de côté, déterminée à s'assurer qu'il était bien effrayé."
"It was water, nothing more.","C'était de l'eau, rien de plus.","Ça n'était que de l'eau, rien de plus."
"""Probably.""",Probablement.,Ça va probablement marcher.
"""Well, I don't think your brother would approve of you picking up and leaving the bar and everything you built here together.",Je ne pense pas que ton frère approuverait que tu prennes tes affaires et que tu quittes le bar et tout ce que vous avez construit ici ensemble.,"Ça, je ne pense pas que ton frère approuverait que tu te déplace et que tu quittes le bar et tout ce que tu as construit ici avec lui."
"Let's start tonight.""",Commençons ce soir.,Ça commence ce soir.
"I claim the right.""",Je revendique ce droit.,Ça me revient.
"In the new sunlight, he saw her body jerk and twitch.","Dans la nouvelle lumière du soleil, il vit son corps tressaillir et se contracter.","Dans la lumière du soleil nouveau, il vit son corps se détendre et se tordre."
"She was by the ocean, making her own way, despite her mother.","Elle était au bord de l'océan, traçant son propre chemin, malgré sa mère.","Ça faisait partie de son parcours, elle faisait ce qu'elle voulait, malgré sa mère."
"""No, I'm not because I'm not going,"" Andi said with a firm nod as Uncle Shawn placed her back on her chair as she did her best to ignore the curious stares being sent her way by the kids that never seemed to appreciate her efforts to teach them the fundamentals of advanced algebra.","Non, parce que je n'irai pas en CM1, dit Andi en hochant fermement la tête alors qu'Oncle Shawn l'asseyait sur une chaise et qu'elle faisait son possible pour ignorer les regards curieux que lui lançaient les enfants qui n'appréciaient jamais ses efforts pour leur enseigner les bases en calcul avancé.","Non, je ne suis pas, car je ne vais pas, répondit Andi avec un hochement de tête ferme alors que Oncle Shawn la remettait sur son siège, alors qu'elle faisait de son mieux pour ignorer les regards curieux des enfants qui ne semblaient jamais apprécier ses efforts pour leur enseigner les bases de l'algèbre avancée."
"Air whooshes out of my lungs and the fuzzy feeling in my head, which I hadn't even noticed, fades.","L'air s'échappe de mes poumons et la sensation de flou dans ma tête, que je n'avais même pas remarquée, s'estompe.","Ça fait comme un coup de vent dans mes poumons et la sensation floue dans ma tête, que je n'avais même pas remarquée, s'estompe."
"""I was thinking,"" he says, rolling to his back after we catch our breath.","J'étais en train de réfléchir, dit-il en se mettant sur le dos après que nous ayons repris notre souffle.","Ça me vient à l'esprit, dit-il en se retournant sur le dos après que nous ayons repris notre souffle."
"""I left the candle on the vanity, and there's a lighter beside it.""","J'ai laissé la bougie sur le meuble, et il y a un briquet à côté.","Ça y est, j'ai laissé la bougie sur la commode, et il y a une allumette à côté."
"""This way I get some time between school and the work I do for you guys at the station.""","...Comme ça, j'ai un peu de temps entre l'école et le travail que je fais pour vous à la station radio.",Ça me donne du temps entre l'école et le travail que je fais pour vous à la station.
I hope that you enjoyed reading Devyn and Andi's story as much as I enjoyed writing it.,J'espère que vous avez pris autant de plaisir à lire l'histoire de Devyn et Andi que j'ai eu à l'écrire.,Je espère que vous avez apprécié lire l'histoire de Devyn et Andi autant que je l'ai apprécié d'écrire.
Your mother sent me.,C'est ta mère qui m'envoie.,Ça vient de ta mère.
Like he's been comfortable in the pool but is ready to step into the ocean.,Comme s'il était assez à l'aise dans la piscine et qu'il était prêt à aller dans l'océan.,"Ça lui a plu de se baigner dans la piscine, mais il est prêt à entrer dans l'océan."
She stared at the flickering candles.,Elle fixa les bougies vacillantes.,Elle fixa les bougies qui s'éteignaient.
"I feel the stinging pressure of his teeth on the hardening nub before he sits back, running his hands along my chest and abdomen.","Je sens la morsure cuisante de ses dents sur mon téton qui durcit avant qu'il ne s'assoie, passant ses mains le long de ma poitrine et de mon abdomen.","Je sens la pression de ses dents sur le bouton durci avant qu'il ne se redresse, passant ses mains sur mon torse et mon abdomen."
John leans back in his chair and takes a swig of his beer.,John s'adosse à sa chaise et boit une gorgée de sa bière.,John s'adoucit dans son fauteuil et boit une gorgée de sa bière.
"""I thought we were more,"" he said.","Je pensais que nous étions plus que ça, dit-il.","Ça m'a semblé que nous étions plus que ça, dit-il."
She was crawling on top of him and laying her head on his chest with a soft sigh as he wrapped his arms around her and couldn't help but feel like she was exactly where she belonged.,"Elle se glissa sur lui et posa sa tête sur sa poitrine en soupirant doucement, tandis qu'il l'entourait de ses bras et ne pouvait s'empêcher de penser qu'elle était exactement à sa place.","Ça lui faisait du bien de la voir s'accrocher à lui et poser sa tête sur son torse avec un soupir doux, tandis qu'il l'enveloppait dans ses bras et ne pouvait s'empêcher de se sentir comme si elle était exactement où elle devait être."
I have to jog to catch up.,Je dois trottiner pour le rattraper.,Ça me faut pour rattraper le rythme.
"If we don't hurry, we're going to get caught in the dark.""","Si on ne se dépêche pas, on va se faire surprendre par l'obscurité.",Ça fait longtemps que je ne suis pas sorti de chez moi.
Mari's tail twitched in excitement.,La queue de Mari s'agita sous l'effet de l'excitation.,La queue de Mari frémit de joie.
Were better left forgotten.,Il vaut mieux les oublier.,Ça vaut mieux qu'on oublie.
"I should've told you about Inna, but I didn't expect to see him here on the islandnot after the storm, and certainly not while I was with you.","J'aurais dû te parler d'Inna, mais je ne m'attendais pas à le voir ici sur l'île  pas après la tempête, et certainement pas pendant que j'étais avec toi. Je ne l'épouserai pas, quoi qu'il arrive.","Ça me faut, je devrais t'avoir dit que j'avais rencontré Inna, mais je ne m'attendais pas à le voir ici, sur l'île, pas après la tempête, et certainement pas pendant que je suis avec toi."
"""Yeah?"" I'm logging my playlist, trying to keep my focus off our proximity to one another.","J'enregistre ma playlist, en essayant de ne pas me concentrer sur notre proximité.","Ça va ? Je note ma playlist, essayant de garder le focus sur le travail plutôt que sur notre proximité."
"By the time enough merfolk had gathered to save her, the pirate ship was gone, harbored somewhere, no doubt.","Le temps que suffisamment d'habitants des mers se rassemblent pour la sauver, le bateau pirate avait disparu, sans doute caché quelque part.","Ça aurait fallu un peu plus de temps pour que suffisamment de créatures marines se rassemblent pour la sauver, mais le navire pirate était déjà parti, caché quelque part, sans doute."
Did her mother know about the revenge plot?,Sa mère était-elle au courant du projet de vengeance ?,Ça faisait-elle partie du plan de vengeance ?
"""You don't know that,"" came the sadly mumbled reply that had his lips twitching.","Tu n'en sais rien, marmonnant tristement la jeune femme entre ses lèvres, ce qui le fit sourire","Ça ne te dit rien, répondit-il d'une voix triste et marmonnante, ce qui fit tressaillir ses lèvres."
"He'd never understood why Devyn didn't play the same game, probably never would, and now that he knew about Andi...","Il n'avait jamais compris pourquoi Devyn ne jouait pas le même jeu, pourquoi il ne le ferait probablement jamais, et maintenant qu'il savait pour Andi...","Ça ne l'avait jamais étonné que Devyn ne joue pas le même jeu, probablement jamais le serait, et maintenant qu'il savait à propos d'Andi..."
The urge to possess her thrummed through him to the point he could barely think.,L'envie de la posséder l'envahissait à tel point qu'il avait du mal à réfléchir.,"L'envie de la posséder le parcourut, jusqu'à ce qu'il ne puisse plus penser."
"""You should check the supply closet.""",Tu devrais vérifier le placard à fournitures.,"Ça te faut, tu devrais vérifier le fourneau."
I'm telling you what I need.,Je te dis ce dont j'ai besoin.,"Ça, c'est ce que je veux."
Want to get to know you.,Je veux apprendre à te connaître.,Ça veut dire que tu veux m'apprendre à t'aimer.
His face brightens.,Son visage s'éclaire.,Son visage s'éclaircit.
Why would he risk that for either of them?,Pourquoi risquerait-il cela pour l'un ou l'autre ?,Ça pourquoi risquerait-il ça pour l'un ou l'autre ?
Best not to think about that at all.,Mieux valait ne pas y penser.,Ça ne valait pas la peine de penser à ça.
"There are several articles about the football team, one about the debate team.","Il y a plusieurs articles sur l'équipe de football, un sur l'équipe de débat.","Ça y est, il y a plusieurs articles sur l'équipe de football, et un sur le débat."
"He didn't move, his gaze fixed on the bar ceiling.","Il ne bougea pas, le regard fixé sur le plafond du bar.","Il ne bougea pas, son regard fixé sur le plafond du bar."
I spit this out like some jilted lover.,Je crache ça comme un amoureux éconduit.,Ça me vient comme si j'étais un amant rejeté.
"I've paired it with a soft pair of black corduroys that he hasn't seen yet, but I thank him for the compliment.","Je l'ai associé à un pantalon en velours côtelé noir qu'il n'a pas encore vu, mais je le remercie pour le compliment.","Ça va avec un pantalon de velours noir qu'il n'a pas encore vu, mais je lui remercie du compliment."
"He was so sure.""",Il en était si sûr.,Ça lui était si sûr.
"To his credit, he slaps a hand over his mouth.","À sa décharge, il porte une main sur sa bouche.","Ça lui vaut du crédit, il pose une main sur sa bouche."
Would he ever get control of the rage inside him?,Parviendra-t-il un jour à contrôler la rage qui l'habitait ?,Êtait-il jamais capable de maîtriser la rage qui le possédait ?
His stomach knotted at the doubt that swirled around him.,Son estomac se noua devant le doute qui l'envahissait.,Son estomac se noua sous le doute qui l'entourait.
She should slip under and swim away.,Elle devrait se glisser sous l'eau et s'enfuir à la nage.,Ça lui fallait de se glisser sous l'eau et de s'éloigner.
"""Well, surely he had it painted before he died.""",Il l'a sûrement fait peindre avant de mourir.,"Ça, bien sûr, il l'a fait peindre avant de mourir."
Talking about my childhood illicits foreign sensations.,Parler de mon enfance provoque des sensations étranges.,Être questionné sur mon enfance me fait ressentir des sensations étranges.
"He wasn't sure what hurt more, his head or his ribs, but at that moment, he wished the asshole that attacked him had finished the fucking job and put him out of his misery.","Mais, à cet instant, il aurait aimé que le connard qui l'avait agressé ait fini le boulot et mette fin à ses souffrances.","Ça lui faisait mal la tête ou les côtes, mais à ce moment-là, il souhaitait que l'connard qui l'avait attaqué ait fini le travail et l'eût mis hors de ses souffrances."
He tasted the zinc that his mother had insisted he put on his nose and that always melted and dribbled down into his mouth.,Il goûta la crème solaire que sa mère insistait pour qu'il mette sur son nez et qui finissait par fondre et couler dans sa bouche.,Ça tait le zinc que sa mère lui avait fait mettre sur le nez et qui fondait et coulait dans sa bouche.
She stood between him and the ocean like a lifeguard station or lighthouse.,"Elle se tenait entre lui et l'océan, comme un poste de sauvetage ou un phare.",Ça lui faisait comme une station de sauvetage ou un phare.
"""Nothing is stopping you from moving the carpentry to part-time, maybe on the weekends or something.""","Rien ne t'empêche de passer la menuiserie à temps partiel, peut-être le week-end ou quelque chose comme ça.","Ça ne te fait pas de mal de passer le menuiserie à temps partiel, peut-être les week-ends ou quelque chose du genre."
That really would have been too much to take.,Cela aurait été vraiment trop dur à supporter.,Ça aurait été trop pour moi.
"""No,"" he says, grabbing my hand.","Non, dit-il en m'attrapant la main.","Non, dit-il en prenant ma main."
I plaster on a smile and move away from them as he hands me a pint glass filled with a golden liquid.,J'esquisse un sourire et m'éloigne d'elles tandis qu'il me tend un verre rempli d'un liquide doré.,Je collé une fausse sourire et me détache de lui alors qu'il me tend un verre de bière rempli d'un liquide doré.
Chase had told her they would get through the storm togetherthat was the sweet and protective man she loved.,Chase lui avait dit qu'ils traverseraient la tempête ensemble  c'était l'homme doux et protecteur qu'elle aimait.,Chase lui avait dit qu'ils allaient traverser la tempête ensemble  c'était l'homme doux et protecteur qu'elle aimait.
Mine is practically immobilized inside his grasp.,La mienne est pratiquement immobilisée dans son emprise.,Ça me rend presque immobile dans sa prise.
"After a last look around, she flipped off the shop's main lights.","Après avoir jeté un dernier coup d'œil autour d'elle, elle éteignit les lumières principales de la boutique.","Elle fit un dernier tour de visu, puis éteignit les lumières principales de la boutique."
He wanted to hold her close and listen to her laughter and share in her happiness.,"Il voulait la serrer contre lui, écouter ses rires et partager son bonheur.","Il voulait la serrer contre lui et écouter son rire, partager son bonheur."
"She stepped up into the cart, tipping it forward and setting it swaying and creaking.","Elle monta dans la cabine, la faisant basculer vers l'avant et la faisant osciller et grincer.","Elle monta dans la charrette, la faisant avancer et la faisant vaciller et grogner."
"And your mother is holding up his end of the bargain, as she should.","Et ta mère tient sa part du marché, comme il se doit.","Ça va, et ta mère tient son côté du marché, comme elle devrait le faire."
"""Did I mention that I really need to use the bathroom?"" she asked, sending the bathroom a hopeful look.",Ai-je mentionné que j'ai vraiment besoin d'aller aux toilettes ?,"Ça m'a échappé de dire que j'ai vraiment besoin de l'aller faire, dit-elle en regardant le salon de bain avec un regard plein d'espoir."
I let you rescue him.,Je t'ai laissé le sauver.,Ça te permet de le sauver.
But he's looking at me like it's the first time.,Mais il me regarde comme si c'était la première fois.,"Ça lui fait plaisir, mais il me regarde comme s'il s'agissait de la première fois."
"I have better things to do than to waste my time worrying about what other people think.""",J'ai mieux à faire que de perdre mon temps à savoir ce que pensent les autres.,Ça me faut mieux que de perdre mon temps à me soucier de ce que pensent les autres.
The smile he gives me leaves me uncharacteristically breathless.,Le sourire qu'il m'adresse me laisse sans voix.,Le sourire qu'il me lance me laisse sans souffle.
"I can totally picture John Burton as a teacher, he has the personality for it.","Je peux tout à fait imaginer John Burton comme professeur, il a la personnalité qu'il faut.","Ça me fait totalement penser à John Burton en professeur, il a le caractère pour ça."
"""We'll have a big party before I close for good.",Nous ferons une grande fête avant de fermer pour de bon.,Ça va être une grande fête avant que je ne ferme pour de bon.
Hurricane Giselle was nothing to fool around with.,L'ouragan Giselle n'était pas à prendre à la légère.,L'ouragan Giselle n'était pas une chose à faire.
"Oh, that couldn't be good, she thought when she saw the puddle forming on the floor around her.","Oh, ça ne présageait rien de bon, pensa-t-elle en voyant la flaque qui se formait sur le sol autour d'elle.","Ça ne pouvait pas être bon, pensa-t-elle lorsqu'elle vit la formation d'un petit lac autour d'elle."
"We can duck out for a little while, yeah?""","On peut s'éclipser un moment, d'accord ?","Ça fait un peu de temps que je ne suis pas là, non ?"
"I have to make sure the bar's safe first.""",Je dois d'abord m'assurer que le bar est sécurisé.,"Ça, je dois m'assurer que le bar est en sécurité d'abord."
No more...anything.,Plus rien.,Ça suffit...
"Maybe some Joy Division, a little Sigur Ros, a bit of Bilal, definitely James Blake.","Peut-être un peu de Joy Division, un peu de Sigur Ros, un peu de Bilal, certainement du James Blake.","Ça pourrait être du Joy Division, un peu de Sigur Ros, un peu de Bilal, sans aucun doute James Blake."
Want to know how those wine-stained lips of yours might taste.,Connaître le goût de tes lèvres colorées par le vin.,Ça te fait envie de savoir comment ces lèvres tachées de vin pourraient goûter.
"In the peace and calm of the eye of life's ever-growing hurricane, they'd found a moment.","Dans la paix et le calme de l'œil de l'ouragan de la vie, ils avaient trouvé un moment.","Dans la paix et la tranquillité du centre de la tempête qui grandissait sans cesse, ils avaient trouvé un moment."
"At least she had everything that she needed, Andi thought as she reached down and grabbed her iPad and the notebook that she'd been working on along with a carefully select assortment of pens that she'd helped herself to from the supply closet at work, only to realize that she'd left her phone at home.","Au moins, elle avait tout ce dont elle avait besoin, pensa Andi en se penchant pour attraper son iPad et le carnet sur lequel elle travaillait, ainsi qu'un assortiment de stylos soigneusement sélectionnés qu'elle s'était procuré dans le placard à fournitures du bureau, avant de réaliser qu'elle avait laissé son téléphone à la maison.","Ça ne faisait pas de mal, pensa Andi en attrapant son iPad et son carnet de notes qu'elle travaillait sur, ainsi qu'une sélection soigneusement choisie de stylo qu'elle avait pris dans le placard des fournitures à l'atelier, avant de se rendre compte qu'elle avait laissé son téléphone à la maison."
It wasn't going to stop him from making sure that the little bastard paid for what he did to Andi.,Ça ne l'empêcherait pas de s'assurer que ce petit salaud paie pour ce qu'il a fait à Andi.,Ça ne l'empêcherait pas de s'assurer que ce petit connard payerait pour ce qu'il avait fait à Andi.
"""I'm going to run and see if I can get the fire department.",Je vais courir et voir si je peux appeler les pompiers.,Ça va falloir que je coure pour voir si je peux appeler les pompiers.
It's suddenly the most important thing in the world.,C'est soudain la chose la plus importante au monde.,Ça devient soudain la chose la plus importante au monde.
It's been a rough twenty-four hours.,Les dernières vingt-quatre heures ont été difficiles.,Ça a été difficile ces vingt-quatre heures.
"The shop was the first thing she could truly call her own, and now it was at risk.","Le magasin était la première chose qu'elle pouvait vraiment appeler la sienne, et maintenant il était en danger.","Ça faisait partie de son patrimoine, et maintenant, elle était en danger."
She would certainly bear Chase's kids.,Elle porterait certainement les enfants de Chase.,Ça lui ferait certainement du bien de porter les enfants de Chase.
"""It's going to be very cold out there, Miss Dawson,"" Devyn said, watching as his favorite place on earth was slowly revealed.","Il va faire très froid dehors, Mlle Dawson, dit Devyn, en regardant son endroit préféré sur Terre se dévoiler progressivement.","Ça va être très froid dehors, Mlle Dawson, dit Devyn, observant la révélation lente de son endroit préféré sur la Terre."
"She drew her knees up and circled them with her arms, squeezing as tight as she could.","Elle remonta ses genoux et les entoura de ses bras, serrant aussi fort qu'elle le pouvait.","Elle fit monter ses genoux et les cercla de ses bras, les serrait autour d'elle."
This stops me mid-chew.,Cela m'arrête en plein milieu de  ma mastication.,Ça me fait arrêter de mâcher.
The sea beckoned her.,La mer l‘appelait.,La mer lui faisait signe.
"I'm shaking, held up by John, who doesn't seem to have full control over his body either.","Je tremble, soutenu par John qui, lui non plus, ne semble pas avoir le contrôle total de son corps.","Ça me tremble, je suis soutenu par John, qui ne semble pas avoir le contrôle de son corps non plus."
My breath leaves me.,Mon souffle me quitte.,Ça me quitte.
"He wasn't muscular in the same way as Chase, but thick and solid.","Il n'était pas aussi musclé que Chase, mais il était fort et massif.","Ça ne lui donnait pas la même musculature que Chase, mais il était épais et solide."
"What I'm about to do is invasive, I know, but...","Ce que je vais faire est invasif, je le sais, mais...","Ça va être invasif, je sais ça, mais..."
"""I see,"" Devyn murmured, applying the last bandage.","Je vois, murmura Devyn en appliquant le dernier bandage.","Ça va, murmura Devyn en appliquant le dernier bandage."
"""Let me talk.""",Laisse-moi parler.,Ça me permet de parler.
"""Look at the domain.",Regarde le nom de domaine.,Ça regarde le domaine.
"He took a deep breath, focusing on the inhale, and then the exhale.","Il inspira profondément, se concentrant sur l'inspiration, puis sur l'expiration.","Il prit une grande inspiration, se concentrant sur l'inspiration, puis sur l'expiration."
"I stretch out beside him, draw his leg up and drape it over mine.","Je m'étire à côté de lui, remonte sa jambe et la fait  passer par-dessus la mienne.","Je m'allonge à côté de lui, soulevé sa jambe et la passe sur la mienne."
"""They're mostly in awe of you,"" he says, his voice taking on that honeyed timber he'd had when he asked me out on this date.","Ils sont surtout en admiration devant toi, dit-il, sa voix prenant ce timbre mielleux qu'il avait lorsqu'il m'a demandé de sortir avec lui.","Ça, c'est surtout le fait que tu sois un héros, dit-il, la voix prenant un timbre d'ambre qu'il avait lorsqu'il m'a invité à ce rendez-vous."
"My style could be called dormitory chic, my flat furnished with a collection of mismatched pieces acquired over the life of my residency.","Mon style pourrait être qualifié de dortoir chic, mon appartement étant meublé d'une collection de pièces dépareillées acquises depuis que j'ai signé le bail.","Mon style pourrait être qualifié de ""chic dortoir"", mon appartement meublé d'une collection de meubles incohérents achetés au cours de ma résidence."
"""Yes, daughter.","Oui, ma fille.","Oui, fille."
"My ass, my thighs, the muscles of my back melt under John's ministrations.","Mon cul, mes cuisses, les muscles de mon dos fondent sous les doigts de John.","Mon cul, mes cuisses, les muscles de mon dos fondent sous les soins de John."
"He is so fucking beautiful, my heart hurts.","Il est si beau, putain, que j'en ai mal au cœur.","Ça fait mal, il est si beau."
"""You're gorgeous,"" John breathes, leaning forward.","Tu es magnifique, souffle John en se penchant en avant.","Ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va, ça va,"
This is why I'm not cut out for relationships.,Voilà pourquoi je ne suis pas fait pour les relations.,"Ça, c'est pourquoi je ne suis pas fait pour les relations."
"""How the hell did we miss that?""",Comment diable avons-nous pu rater ça,"Ça, comment l'avons-nous manqué ?"
"She began to sob gently, covering her face with her hands.","Elle se mit à sangloter doucement, se couvrant le visage de ses mains.","Elle commença à pleurer doucement, couvrant son visage de ses mains."
If he got stranded on the island during the storm...,S'il se retrouvait bloqué sur l'île pendant la tempête...,Si il était coincé sur l'île pendant la tempête...
Not to accept that he can see me so clearly.,De ne pas accepter qu'il lise en moi si clairement.,Ça ne veut pas dire que je peux le voir si clairement.
His fingers were sore and stiff from the wood's rough assault.,Ses doigts étaient endoloris et raides à cause de la rugosité du bois.,Ses doigts étaient douloureux et rigides à cause de l'assaut du bois.
"You should have been paying attention to the news.""",Tu aurais dû faire attention aux informations.,Ça te serait bien fait de suivre les nouvelles.
"""Yes,"" he bit out, watching as her lips twitched.","Oui, dit-il sèchement en regardant les lèvres de la jeune femme se contracter.","Ça va, dit-il, regardant ses lèvres trembler."
I laugh and shake my head.,Je ris et secoue la tête.,Ça me fait rire et je secoue la tête.
