sources,references,translations
"Wood cracked and splinteredthough he couldn't see it, he knew the bar roof was close to stripping away, shingles probably flying everywhere.","Le bois cognait et se brisait  bien qu'il ne puisse pas le voir, il savait que le toit du bar était sur le point de s'arracher, et que les bardeaux volaient probablement dans tous les sens.","Le bois craquait et se fendait ; bien qu’il ne pût le voir, il savait que le toit du bar était sur le point de s’arracher, les bardeaux volant probablement dans tous les sens."
"Make sure that she takes her meds, takes it easy, and changes her bandage.""","Assure toi qu'elle prenne ses médicaments, qu'elle se ménage et qu'elle change son bandage.","Assure-toi qu'elle prenne ses médicaments, qu'elle se repose et qu'elle change son pansement."
"""Get out of here, Mari,"" Chase yelled.","Sors d'ici, Mari, cria Chase.","« Dégage d’ici, Mari, » hurla Chase."
And he wasn't going to get away with stalking anyone either.,Et il n'allait pas non plus s'en tirer en harcelant qui que ce,Et il n'allait pas s'en tirer en harcelant qui que ce soit non plus.
"I'm so open to him, so eager to receive him.","Je suis tellement ouvert à lui, tellement désireux de le recevoir.","Je suis si ouverte à lui, si avide de l'accueillir."
It's a déjà vu moment if I've ever had one.,C'est un moment de déjà-vu.,"C'est un vrai moment de déjà-vu, ça."
"When I'm with someone, I want to share the good and the bad.","Quand je suis avec quelqu'un, je veux partager les bons et les mauvais moments.","Quand je suis avec quelqu'un, je veux partager le bon comme le moins bon."
"""You have a lot of eighties music here,"" John observes.","Tu as beaucoup de musique des années 80, observe John.","« Tu as vraiment beaucoup de musique des années quatre-vingt, ici », observe John."
"I can escape with little effort.""",Je peux m'échapper sans trop d'efforts.,"""Je peux m'échapper avec très peu d'effort."""
"At some spots, the island was so narrow you could throw a stone from the sound side to the waves.","À certains endroits, l'île était si étroite que l'on pouvait jeter une pierre sur les vagues du rivage et elle atterrirait dans les profondeurs.","Par endroits, l'île était si étroite qu'on aurait pu lancer une pierre du côté du détroit jusqu'aux vagues."
"""When I finish up here.",Quand j'aurai fini ici.,Quand j'aurai fini ici.
How could her mother ever expect her to marry someone like Inna?,Comment sa mère avait-t-elle pu s'attendre à ce qu'elle épouse quelqu'un comme Inna ?,Comment sa mère pouvait-elle s’attendre à ce qu’elle épouse une personne comme Inna ?
A real kiss.,Un vrai baiser.,Un vrai baiser.
It also got me my gig as a disc jockey.,C'est aussi ce qui m'a permis de devenir disc-jockey.,Ça m'a aussi permis de décrocher mon job de DJ.
"""No!"" came the hysterical reply that had him sighing heavily as he reached down and grabbed hold of the comforter and slowly pulled it off the woman that refused to leave the hotel.","une pointe d'hystérie dans la voix, ce qui le fit soupirer lourdement en attrapant la couette et en la retirant lentement à la femme qui refusait de quitter l'hôtel","« Non ! » rétorqua-t-elle, hystérique, lui arrachant un soupir lourd tandis qu’il se penchait pour saisir la couette et la tirer lentement, découvrant la femme qui refusait de quitter l’hôtel."
The wind and rain had been scarier than she'd ever experienced.,Le vent et la pluie avaient été plus effrayants qu'ils ne lui étaient jamais apparus.,Le vent et la pluie avaient été plus terrifiants que tout ce qu’elle avait connu.
He'd been there that day when she had come upon the divers.,Il était là ce jour-là quand elle avait rencontré les plongeurs.,Il était là ce jour-là quand elle était tombée sur les plongeurs.
"""Amelia never remarried but lived on the bounty Christopher had stored and hidden on the island.",Amelia ne s'est jamais remariée mais a vécu grâce à la prime que Christopher avait stockée et cachée sur l'île.,"Amelia ne se remaria jamais, mais vécut des richesses que Christopher avait amassées et cachées sur l'île."
"""Only bloody thing they ever gave me,"" I murmur.","C'est la seule chose qu'ils m'aient jamais donnée , murmuré-je.","*« La seule putain de chose qu’ils m’aient jamais donnée »*, je marmonne."
"""Tell me you didn't, please!""","Dis-moi que tu ne l'as pas fait, s'il te plaît !","Dis-moi que tu ne l'as pas fait, s'il te plaît !"
"The wind whipped by, catching the hem of his T-shirt in a flutter, exposing his firm abdomen for a too-brief moment.","Le vent soufflait en trombe, faisant voltiger l'ourlet de son tee-shirt, dévoilant son abdomen ferme pendant un trop bref instant.","Le vent s'engouffra, soulevant le pan de son t-shirt dans un frémissement, dévoilant son abdomen ferme l'espace d'un instant trop fugace."
"You never would.""",Tu ne le ferais jamais.,Tu ne l'aurais jamais fait.
Then they were separatedpossibly foreverto save her life.,Puis ils ont été séparés  peut-être pour toujours  afin de lui sauver la vie.,"Puis on les sépara,
peut-être pour toujours,
afin de lui sauver la vie."
"""I would probably quake in fear for the rest of my life at the mere mention of your name,"" Devyn said dryly as he watched her return to glaring at him as she hastily toed off her slippers and kicked them aside, determined to make sure that he was properly terrified.","Je tremblerais probablement de peur pour le reste de ma vie à la simple mention de ton nom, dit Devyn d'un ton moqueur en la regardant se remettre à le fixer du regard tandis qu'elle enlevait précipitamment ses pantoufles et les écartait d'un coup de pied, bien décidée à s'assurer qu'il était bien terrifié.","*« Je tremblerais probablement de peur pour le reste de mes jours au simple son de ton nom », déclara Devyn d’un ton sec en la regardant reprendre son air furibond tandis qu’elle enlevait précipitemment ses pantoufles d’un coup de pied pour les envoyer valdinguer, bien décidée à s’assurer qu’il soit terrifié comme il se devait.*"
"It was water, nothing more.","C'était de l'eau, rien de plus.","Ce n'était que de l'eau, rien de plus."
"""Probably.""",Probablement.,Probablement.
"""Well, I don't think your brother would approve of you picking up and leaving the bar and everything you built here together.",Je ne pense pas que ton frère approuverait que tu prennes tes affaires et que tu quittes le bar et tout ce que vous avez construit ici ensemble.,"Eh bien, je ne pense pas que ton frère approuverait que tu partes en laissant le bar et tout ce que vous avez construit ensemble ici."
"Let's start tonight.""",Commençons ce soir.,"""Commençons ce soir."""
"I claim the right.""",Je revendique ce droit.,Je revendique le droit.
"In the new sunlight, he saw her body jerk and twitch.","Dans la nouvelle lumière du soleil, il vit son corps tressaillir et se contracter.","Dans la lumière nouvelle du soleil, il vit son corps se convulser et tressaillir."
"She was by the ocean, making her own way, despite her mother.","Elle était au bord de l'océan, traçant son propre chemin, malgré sa mère.","Elle était près de l'océan, traçant sa propre voie, malgré sa mère."
"""No, I'm not because I'm not going,"" Andi said with a firm nod as Uncle Shawn placed her back on her chair as she did her best to ignore the curious stares being sent her way by the kids that never seemed to appreciate her efforts to teach them the fundamentals of advanced algebra.","Non, parce que je n'irai pas en CM1, dit Andi en hochant fermement la tête alors qu'Oncle Shawn l'asseyait sur une chaise et qu'elle faisait son possible pour ignorer les regards curieux que lui lançaient les enfants qui n'appréciaient jamais ses efforts pour leur enseigner les bases en calcul avancé.","« Non, pas question, parce que je n’y vais pas », déclara Andi d’un hochement de tête catégorique tandis que l’oncle Shawn la reposait sur sa chaise, s’efforçant d’ignorer les regards intrigués que lui lançaient ces enfants qui ne semblaient jamais apprécier ses efforts pour leur enseigner les bases de l’algèbre avancée."
"Air whooshes out of my lungs and the fuzzy feeling in my head, which I hadn't even noticed, fades.","L'air s'échappe de mes poumons et la sensation de flou dans ma tête, que je n'avais même pas remarquée, s'estompe.","L'air s'échappe de mes poumons et cette sensation cotonneuse dans ma tête, que je n'avais même pas remarquée, s'estompe."
"""I was thinking,"" he says, rolling to his back after we catch our breath.","J'étais en train de réfléchir, dit-il en se mettant sur le dos après que nous ayons repris notre souffle.","*« Je réfléchissais », dit-il en roulant sur le dos une fois notre souffle repris.*"
"""I left the candle on the vanity, and there's a lighter beside it.""","J'ai laissé la bougie sur le meuble, et il y a un briquet à côté.","J'ai laissé la bougie sur la coiffeuse, et il y a un briquet à côté."
"""This way I get some time between school and the work I do for you guys at the station.""","...Comme ça, j'ai un peu de temps entre l'école et le travail que je fais pour vous à la station radio.","Comme ça, j'ai un peu de temps entre l'école et le boulot que je fais pour vous à la station."
I hope that you enjoyed reading Devyn and Andi's story as much as I enjoyed writing it.,J'espère que vous avez pris autant de plaisir à lire l'histoire de Devyn et Andi que j'ai eu à l'écrire.,J’espère que vous avez pris autant de plaisir à lire l’histoire de Devyn et Andi que j’en ai eu à l’écrire.
Your mother sent me.,C'est ta mère qui m'envoie.,Ta mère m'a envoyé.
Like he's been comfortable in the pool but is ready to step into the ocean.,Comme s'il était assez à l'aise dans la piscine et qu'il était prêt à aller dans l'océan.,"Comme s'il était à l'aise dans la piscine, mais prêt à plonger dans l'océan."
She stared at the flickering candles.,Elle fixa les bougies vacillantes.,Elle fixa les bougies vacillantes.
"I feel the stinging pressure of his teeth on the hardening nub before he sits back, running his hands along my chest and abdomen.","Je sens la morsure cuisante de ses dents sur mon téton qui durcit avant qu'il ne s'assoie, passant ses mains le long de ma poitrine et de mon abdomen.","Je sens la morsure de ses dents sur mon bouton qui durcit avant qu’il ne se redresse, passant ses mains sur ma poitrine et mon abdomen."
John leans back in his chair and takes a swig of his beer.,John s'adosse à sa chaise et boit une gorgée de sa bière.,Jean s’adosse à sa chaise et avale une gorgée de bière.
"""I thought we were more,"" he said.","Je pensais que nous étions plus que ça, dit-il.","*« Je croyais qu’on était plus que ça, » dit-il.*"
She was crawling on top of him and laying her head on his chest with a soft sigh as he wrapped his arms around her and couldn't help but feel like she was exactly where she belonged.,"Elle se glissa sur lui et posa sa tête sur sa poitrine en soupirant doucement, tandis qu'il l'entourait de ses bras et ne pouvait s'empêcher de penser qu'elle était exactement à sa place.","Elle rampait sur lui avant de poser sa tête contre son torse avec un doux soupir, tandis qu'il l'enlaçait, ne pouvant s'empêcher de penser qu'elle était exactement à sa place."
I have to jog to catch up.,Je dois trottiner pour le rattraper.,Je dois courir pour rattraper.
"If we don't hurry, we're going to get caught in the dark.""","Si on ne se dépêche pas, on va se faire surprendre par l'obscurité.","Si on ne se dépêche pas, on va se faire surprendre par la nuit."
Mari's tail twitched in excitement.,La queue de Mari s'agita sous l'effet de l'excitation.,La queue de Mari frétille d’excitation.
Were better left forgotten.,Il vaut mieux les oublier.,Mieux vaut les oublier.
"I should've told you about Inna, but I didn't expect to see him here on the islandnot after the storm, and certainly not while I was with you.","J'aurais dû te parler d'Inna, mais je ne m'attendais pas à le voir ici sur l'île  pas après la tempête, et certainement pas pendant que j'étais avec toi. Je ne l'épouserai pas, quoi qu'il arrive.","J'aurais dû te parler d'Inna, mais je ne m'attendais pas à le voir ici sur l'île... surtout pas après la tempête, et encore moins alors que j'étais avec toi."
"""Yeah?"" I'm logging my playlist, trying to keep my focus off our proximity to one another.","J'enregistre ma playlist, en essayant de ne pas me concentrer sur notre proximité.","« Ouais ? » Je note les titres de ma playlist, en essayant de ne pas penser à cette putain de tension entre nous."
"By the time enough merfolk had gathered to save her, the pirate ship was gone, harbored somewhere, no doubt.","Le temps que suffisamment d'habitants des mers se rassemblent pour la sauver, le bateau pirate avait disparu, sans doute caché quelque part.","Quand enfin assez de sirènes s’étaient rassemblées pour la sauver, le navire pirate avait disparu, à l’abri quelque part, sans aucun doute."
Did her mother know about the revenge plot?,Sa mère était-elle au courant du projet de vengeance ?,Sa mère était-elle au courant du complot pour se venger ?
"""You don't know that,"" came the sadly mumbled reply that had his lips twitching.","Tu n'en sais rien, marmonnant tristement la jeune femme entre ses lèvres, ce qui le fit sourire","*« Tu ne le sais pas », murmura-t-il d’une voix triste, ce qui fit tressaillir ses lèvres.*"
"He'd never understood why Devyn didn't play the same game, probably never would, and now that he knew about Andi...","Il n'avait jamais compris pourquoi Devyn ne jouait pas le même jeu, pourquoi il ne le ferait probablement jamais, et maintenant qu'il savait pour Andi...","Il n'avait jamais compris pourquoi Devyn ne jouait pas selon les mêmes règles, et il ne le comprendrait probablement jamais, mais maintenant qu'il savait pour Andi..."
The urge to possess her thrummed through him to the point he could barely think.,L'envie de la posséder l'envahissait à tel point qu'il avait du mal à réfléchir.,L'envie de la posséder vibrait en lui au point qu'il en perdait presque la raison.
"""You should check the supply closet.""",Tu devrais vérifier le placard à fournitures.,Tu devrais vérifier le placard de stockage.
I'm telling you what I need.,Je te dis ce dont j'ai besoin.,Je te dis ce dont j'ai besoin.
Want to get to know you.,Je veux apprendre à te connaître.,J'aimerais faire ta connaissance.
His face brightens.,Son visage s'éclaire.,Son visage s'illumine.
Why would he risk that for either of them?,Pourquoi risquerait-il cela pour l'un ou l'autre ?,Pourquoi prendrait-il un tel risque pour l'un ou l'autre ?
Best not to think about that at all.,Mieux valait ne pas y penser.,Mieux vaut ne pas y penser du tout.
"There are several articles about the football team, one about the debate team.","Il y a plusieurs articles sur l'équipe de football, un sur l'équipe de débat.","Il y a plusieurs articles sur l'équipe de football, un sur l'équipe de débat."
"He didn't move, his gaze fixed on the bar ceiling.","Il ne bougea pas, le regard fixé sur le plafond du bar.","Il resta immobile, le regard rivé au plafond du bar."
I spit this out like some jilted lover.,Je crache ça comme un amoureux éconduit.,Je crache ça comme un amant éconduit.
"I've paired it with a soft pair of black corduroys that he hasn't seen yet, but I thank him for the compliment.","Je l'ai associé à un pantalon en velours côtelé noir qu'il n'a pas encore vu, mais je le remercie pour le compliment.","Je l'ai associé à un doux pantalon en velours côtelé noir qu'il n'a pas encore vu, mais je le remercie pour le compliment."
"He was so sure.""",Il en était si sûr.,Il était si sûr.
"To his credit, he slaps a hand over his mouth.","À sa décharge, il porte une main sur sa bouche.","À sa décharge, il se donne une claque sur la bouche."
Would he ever get control of the rage inside him?,Parviendra-t-il un jour à contrôler la rage qui l'habitait ?,Parviendrait-il un jour à maîtriser la rage qui bouillonnait en lui ?
His stomach knotted at the doubt that swirled around him.,Son estomac se noua devant le doute qui l'envahissait.,Son estomac se noua face au doute qui tournoyait autour de lui.
She should slip under and swim away.,Elle devrait se glisser sous l'eau et s'enfuir à la nage.,Elle devrait se glisser en dessous et nager en s'éloignant.
"""Well, surely he had it painted before he died.""",Il l'a sûrement fait peindre avant de mourir.,"""Eh bien, il l’a sûrement fait peindre avant de mourir."""
Talking about my childhood illicits foreign sensations.,Parler de mon enfance provoque des sensations étranges.,Évoquer mon enfance me procure des sensations étranges.
"He wasn't sure what hurt more, his head or his ribs, but at that moment, he wished the asshole that attacked him had finished the fucking job and put him out of his misery.","Mais, à cet instant, il aurait aimé que le connard qui l'avait agressé ait fini le boulot et mette fin à ses souffrances.","Il n'était pas sûr de ce qui lui faisait le plus mal, la tête ou les côtes, mais à cet instant, il aurait préféré que l'enfoiré qui l'avait agressé en finisse et lui épargne cette souffrance."
He tasted the zinc that his mother had insisted he put on his nose and that always melted and dribbled down into his mouth.,Il goûta la crème solaire que sa mère insistait pour qu'il mette sur son nez et qui finissait par fondre et couler dans sa bouche.,Il goûta le stick de zinc que sa mère avait exigé qu'il se mette sur le nez et qui fondait toujours avant de couler dans sa bouche.
She stood between him and the ocean like a lifeguard station or lighthouse.,"Elle se tenait entre lui et l'océan, comme un poste de sauvetage ou un phare.",Elle se tenait entre lui et l'océan comme un poste de surveillant de baignade ou un phare.
"""Nothing is stopping you from moving the carpentry to part-time, maybe on the weekends or something.""","Rien ne t'empêche de passer la menuiserie à temps partiel, peut-être le week-end ou quelque chose comme ça.","Rien ne t'empêche de passer la menuiserie à temps partiel, peut-être les week-ends ou un truc comme ça."
That really would have been too much to take.,Cela aurait été vraiment trop dur à supporter.,C'en aurait vraiment été trop.
"""No,"" he says, grabbing my hand.","Non, dit-il en m'attrapant la main.","« Non », dit-il en attrapant ma main."
I plaster on a smile and move away from them as he hands me a pint glass filled with a golden liquid.,J'esquisse un sourire et m'éloigne d'elles tandis qu'il me tend un verre rempli d'un liquide doré.,Je colle un sourire et m'éloigne d'eux tandis qu'il me tend un verre à pint rempli d'un liquide doré.
Chase had told her they would get through the storm togetherthat was the sweet and protective man she loved.,Chase lui avait dit qu'ils traverseraient la tempête ensemble  c'était l'homme doux et protecteur qu'elle aimait.,"Chase lui avait dit qu'ils traverseraient la tempête ensemble, c'était ça, l'homme doux et protecteur qu'elle aimait."
Mine is practically immobilized inside his grasp.,La mienne est pratiquement immobilisée dans son emprise.,La mienne est pratiquement immobilisée dans son étreinte.
"After a last look around, she flipped off the shop's main lights.","Après avoir jeté un dernier coup d'œil autour d'elle, elle éteignit les lumières principales de la boutique.","Après un dernier regard autour d'elle, elle éteignit les lumières principales de la boutique."
He wanted to hold her close and listen to her laughter and share in her happiness.,"Il voulait la serrer contre lui, écouter ses rires et partager son bonheur.","Il voulait la serrer contre lui, écouter son rire et partager son bonheur."
"She stepped up into the cart, tipping it forward and setting it swaying and creaking.","Elle monta dans la cabine, la faisant basculer vers l'avant et la faisant osciller et grincer.","Elle monta dans la charrette, la faisant basculer vers l'avant et la mettant à osciller et grincer."
"And your mother is holding up his end of the bargain, as she should.","Et ta mère tient sa part du marché, comme il se doit.","Et ta mère tient sa part du marché, comme il se doit."
"""Did I mention that I really need to use the bathroom?"" she asked, sending the bathroom a hopeful look.",Ai-je mentionné que j'ai vraiment besoin d'aller aux toilettes ?,« Je vous ai dit à quel point j’avais *vraiment* besoin d’aller aux toilettes ? » demanda-t-elle en lançant un regard plein d’espoir vers la salle de bain.
I let you rescue him.,Je t'ai laissé le sauver.,Je te laisse le sauver.
But he's looking at me like it's the first time.,Mais il me regarde comme si c'était la première fois.,Mais il me regarde comme si c'était la première fois.
"I have better things to do than to waste my time worrying about what other people think.""",J'ai mieux à faire que de perdre mon temps à savoir ce que pensent les autres.,J'ai mieux à faire que de perdre mon temps à me soucier de ce que les autres pensent.
The smile he gives me leaves me uncharacteristically breathless.,Le sourire qu'il m'adresse me laisse sans voix.,"Le sourire qu'il me lance me coupe le souffle, ce qui n'est vraiment pas dans mes habitudes."
"I can totally picture John Burton as a teacher, he has the personality for it.","Je peux tout à fait imaginer John Burton comme professeur, il a la personnalité qu'il faut.","Je peux tout à fait imaginer John Burton en tant que prof, il a le tempérament pour ça."
"""We'll have a big party before I close for good.",Nous ferons une grande fête avant de fermer pour de bon.,On va faire une grosse fête avant que je ne ferme définitivement.
Hurricane Giselle was nothing to fool around with.,L'ouragan Giselle n'était pas à prendre à la légère.,L'ouragan Giselle n'était pas une affaire à prendre à la légère.
"Oh, that couldn't be good, she thought when she saw the puddle forming on the floor around her.","Oh, ça ne présageait rien de bon, pensa-t-elle en voyant la flaque qui se formait sur le sol autour d'elle.","*Oh, ce n’est pas bon signe*, songea-t-elle en voyant la flaque se former autour d’elle sur le sol."
"We can duck out for a little while, yeah?""","On peut s'éclipser un moment, d'accord ?","""On peut s’éclipser un moment, ouais ?"""
"I have to make sure the bar's safe first.""",Je dois d'abord m'assurer que le bar est sécurisé.,"""Je dois d'abord m'assurer que le bar est sécurisé."""
No more...anything.,Plus rien.,Plus rien... du tout.
"Maybe some Joy Division, a little Sigur Ros, a bit of Bilal, definitely James Blake.","Peut-être un peu de Joy Division, un peu de Sigur Ros, un peu de Bilal, certainement du James Blake.","Peut-être un peu de Joy Division, un brin de Sigur Rós, une touche de Bilal, et sans faute James Blake."
Want to know how those wine-stained lips of yours might taste.,Connaître le goût de tes lèvres colorées par le vin.,J’aimerais bien savoir quel goût pourraient avoir tes lèvres tachées de vin.
"In the peace and calm of the eye of life's ever-growing hurricane, they'd found a moment.","Dans la paix et le calme de l'œil de l'ouragan de la vie, ils avaient trouvé un moment.","Au cœur de l'œil paisible et serein de l'ouragan grandissant de la vie, ils avaient trouvé un instant."
"At least she had everything that she needed, Andi thought as she reached down and grabbed her iPad and the notebook that she'd been working on along with a carefully select assortment of pens that she'd helped herself to from the supply closet at work, only to realize that she'd left her phone at home.","Au moins, elle avait tout ce dont elle avait besoin, pensa Andi en se penchant pour attraper son iPad et le carnet sur lequel elle travaillait, ainsi qu'un assortiment de stylos soigneusement sélectionnés qu'elle s'était procuré dans le placard à fournitures du bureau, avant de réaliser qu'elle avait laissé son téléphone à la maison.","Au moins, elle avait tout ce dont elle avait besoin, songea Andi en se penchant pour attraper son iPad, le carnet sur lequel elle travaillait, ainsi qu'une sélection soigneusement choisie de stylos qu'elle s'était appropriés dans le placard à fournitures au bureau, avant de réaliser qu'elle avait oublié son téléphone à la maison."
It wasn't going to stop him from making sure that the little bastard paid for what he did to Andi.,Ça ne l'empêcherait pas de s'assurer que ce petit salaud paie pour ce qu'il a fait à Andi.,Ça ne l'empêcherait pas de s'assurer que le petit salaud paie pour ce qu'il avait fait à Andi.
"""I'm going to run and see if I can get the fire department.",Je vais courir et voir si je peux appeler les pompiers.,Je vais courir voir si je peux aller chercher les pompiers.
It's suddenly the most important thing in the world.,C'est soudain la chose la plus importante au monde.,C'est soudainement devenu la chose la plus importante au monde.
It's been a rough twenty-four hours.,Les dernières vingt-quatre heures ont été difficiles.,Ça fait vingt-quatre heures difficiles.
"The shop was the first thing she could truly call her own, and now it was at risk.","Le magasin était la première chose qu'elle pouvait vraiment appeler la sienne, et maintenant il était en danger.","Cette boutique était la première chose qu'elle pouvait vraiment appeler sienne, et la voilà maintenant menacée."
She would certainly bear Chase's kids.,Elle porterait certainement les enfants de Chase.,Elle porterait certainement les enfants de Chase.
"""It's going to be very cold out there, Miss Dawson,"" Devyn said, watching as his favorite place on earth was slowly revealed.","Il va faire très froid dehors, Mlle Dawson, dit Devyn, en regardant son endroit préféré sur Terre se dévoiler progressivement.","« Il va faire très froid dehors, mademoiselle Dawson, » déclara Devyn en observant son endroit préféré au monde se révéler peu à peu."
"She drew her knees up and circled them with her arms, squeezing as tight as she could.","Elle remonta ses genoux et les entoura de ses bras, serrant aussi fort qu'elle le pouvait.","Elle remonta ses genoux contre sa poitrine et les enlaça de ses bras, les serrant aussi fort qu'elle le pouvait."
This stops me mid-chew.,Cela m'arrête en plein milieu de  ma mastication.,Ça me coupe la mastication en plein milieu.
The sea beckoned her.,La mer l‘appelait.,La mer l'appelait.
"I'm shaking, held up by John, who doesn't seem to have full control over his body either.","Je tremble, soutenu par John qui, lui non plus, ne semble pas avoir le contrôle total de son corps.","Je tremble, soutenu par John, qui ne semble pas non plus maîtriser totalement son corps."
My breath leaves me.,Mon souffle me quitte.,Mon souffle m'abandonne.
"He wasn't muscular in the same way as Chase, but thick and solid.","Il n'était pas aussi musclé que Chase, mais il était fort et massif.","Il n'était pas musclé comme Chase, mais trapu et solide."
"What I'm about to do is invasive, I know, but...","Ce que je vais faire est invasif, je le sais, mais...","Je sais que ce que je m'apprête à faire est invasif, mais..."
"""I see,"" Devyn murmured, applying the last bandage.","Je vois, murmura Devyn en appliquant le dernier bandage.","« Je vois », murmura Devyn en appliquant le dernier bandage."
"""Let me talk.""",Laisse-moi parler.,Laisse-moi parler.
"""Look at the domain.",Regarde le nom de domaine.,Regarde le domaine.
"He took a deep breath, focusing on the inhale, and then the exhale.","Il inspira profondément, se concentrant sur l'inspiration, puis sur l'expiration.","Il prit une profonde inspiration, se concentrant sur l'inhalation, puis sur l'exhalation."
"I stretch out beside him, draw his leg up and drape it over mine.","Je m'étire à côté de lui, remonte sa jambe et la fait  passer par-dessus la mienne.","Je m'allonge à côté de lui, soulève sa jambe et la pose sur la mienne."
"""They're mostly in awe of you,"" he says, his voice taking on that honeyed timber he'd had when he asked me out on this date.","Ils sont surtout en admiration devant toi, dit-il, sa voix prenant ce timbre mielleux qu'il avait lorsqu'il m'a demandé de sortir avec lui.","*« Ils sont surtout émerveillés par toi », dit-il, sa voix prenant cette tonalité miel qu’il avait quand il m’a invitée à ce rendez-vous.*"
"My style could be called dormitory chic, my flat furnished with a collection of mismatched pieces acquired over the life of my residency.","Mon style pourrait être qualifié de dortoir chic, mon appartement étant meublé d'une collection de pièces dépareillées acquises depuis que j'ai signé le bail.","Mon style pourrait s'apparenter à un chic de cité U, mon appartement meublé d'un assortiment de pièces disparates acquises tout au long de ma résidence."
"""Yes, daughter.","Oui, ma fille.","""Oui, ma fille."""
"My ass, my thighs, the muscles of my back melt under John's ministrations.","Mon cul, mes cuisses, les muscles de mon dos fondent sous les doigts de John.","Mon cul, mes cuisses, les muscles de mon dos fondent sous les caresses expertes de John."
"He is so fucking beautiful, my heart hurts.","Il est si beau, putain, que j'en ai mal au cœur.","Il est tellement putain de beau, ça me brise le cœur."
"""You're gorgeous,"" John breathes, leaning forward.","Tu es magnifique, souffle John en se penchant en avant.","*« Tu es magnifique », murmure John en se penchant vers elle.*"
This is why I'm not cut out for relationships.,Voilà pourquoi je ne suis pas fait pour les relations.,C'est pour ça que je ne suis pas fait pour les relations.
"""How the hell did we miss that?""",Comment diable avons-nous pu rater ça,"Mais comment on a bien pu louper ça, bordel ?"
"She began to sob gently, covering her face with her hands.","Elle se mit à sangloter doucement, se couvrant le visage de ses mains.","Elle se mit à sangloter doucement, se couvrant le visage de ses mains."
If he got stranded on the island during the storm...,S'il se retrouvait bloqué sur l'île pendant la tempête...,S'il s'était retrouvé coincé sur l'île pendant la tempête...
Not to accept that he can see me so clearly.,De ne pas accepter qu'il lise en moi si clairement.,"Qu'il puisse me voir si clairement, je ne l'accepte pas."
His fingers were sore and stiff from the wood's rough assault.,Ses doigts étaient endoloris et raides à cause de la rugosité du bois.,Ses doigts étaient endoloris et raides après l'assaut rugueux du bois.
"You should have been paying attention to the news.""",Tu aurais dû faire attention aux informations.,Tu aurais dû faire attention aux actualités.
"""Yes,"" he bit out, watching as her lips twitched.","Oui, dit-il sèchement en regardant les lèvres de la jeune femme se contracter.","« Oui », gronda-t-il entre ses dents en observant le frémissement de ses lèvres."
I laugh and shake my head.,Je ris et secoue la tête.,Je ris et secoue la tête.
