sources,references,translations
And he wasn't going to get away with stalking anyone either.,Et il n'allait pas non plus s'en tirer en harcelant qui que ce,Et il n'allait pas s'en tirer en harcelant qui que ce soit non plus.
"I'm so open to him, so eager to receive him.","Je suis tellement ouvert à lui, tellement désireux de le recevoir.","Je suis tellement ouverte à lui, tellement impatiente de le recevoir."
It's a déjà vu moment if I've ever had one.,C'est un moment de déjà-vu.,"C'est un vrai déjà-vu, si j'en ai déjà vécu un."
"When I'm with someone, I want to share the good and the bad.","Quand je suis avec quelqu'un, je veux partager les bons et les mauvais moments.","Quand je suis avec quelqu'un, j'ai envie de partager les bons et les mauvais moments."
"""You have a lot of eighties music here,"" John observes.","Tu as beaucoup de musique des années 80, observe John.","« T'as plein de musique des années 80 ici », remarque John."
"I can escape with little effort.""",Je peux m'échapper sans trop d'efforts.,Je peux m'échapper sans trop de problèmes
"At some spots, the island was so narrow you could throw a stone from the sound side to the waves.","À certains endroits, l'île était si étroite que l'on pouvait jeter une pierre sur les vagues du rivage et elle atterrirait dans les profondeurs.","À certains endroits, l'île était tellement étroite qu'on pouvait lancer une pierre du côté du détroit vers les vagues."
"""When I finish up here.",Quand j'aurai fini ici.,quand j'aurai fini ici.
How could her mother ever expect her to marry someone like Inna?,Comment sa mère avait-t-elle pu s'attendre à ce qu'elle épouse quelqu'un comme Inna ?,Comment sa mère pouvait-elle s'attendre à ce qu'elle épouse quelqu'un comme Inna ?
A real kiss.,Un vrai baiser.,Un vrai baiser.
It also got me my gig as a disc jockey.,C'est aussi ce qui m'a permis de devenir disc-jockey.,Ça m'a aussi permis de décrocher mon boulot de DJ.
"""No!"" came the hysterical reply that had him sighing heavily as he reached down and grabbed hold of the comforter and slowly pulled it off the woman that refused to leave the hotel.","une pointe d'hystérie dans la voix, ce qui le fit soupirer lourdement en attrapant la couette et en la retirant lentement à la femme qui refusait de quitter l'hôtel","« Non ! » a-t-elle répondu, complètement paniquée, ce qui l'a fait soupirer lourdement. Il s'est penché, a attrapé la couette et l'a lentement retirée de la femme qui ne voulait pas quitter l'hôtel."
The wind and rain had been scarier than she'd ever experienced.,Le vent et la pluie avaient été plus effrayants qu'ils ne lui étaient jamais apparus.,Le vent et la pluie avaient été plus effrayants qu'elle ne l'avait jamais vu.
He'd been there that day when she had come upon the divers.,Il était là ce jour-là quand elle avait rencontré les plongeurs.,Il était là le jour où elle est tombée sur les plongeurs.
"""Amelia never remarried but lived on the bounty Christopher had stored and hidden on the island.",Amelia ne s'est jamais remariée mais a vécu grâce à la prime que Christopher avait stockée et cachée sur l'île.,"amelia ne s'est jamais remariée, mais a vécu grâce à la fortune que Christopher avait mise de côté et cachée sur l'île."
"""Only bloody thing they ever gave me,"" I murmur.","C'est la seule chose qu'ils m'aient jamais donnée , murmuré-je.","« C'est la seule chose qu'ils m'aient jamais donnée », je dis à voix basse."
"""Tell me you didn't, please!""","Dis-moi que tu ne l'as pas fait, s'il te plaît !","« Dis-moi que tu n'as pas fait ça, s'il te plaît ! »"
"The wind whipped by, catching the hem of his T-shirt in a flutter, exposing his firm abdomen for a too-brief moment.","Le vent soufflait en trombe, faisant voltiger l'ourlet de son tee-shirt, dévoilant son abdomen ferme pendant un trop bref instant.","Le vent soufflait fort, faisant flotter le bas de son t-shirt et dévoilant brièvement ses abdos bien dessinés."
"You never would.""",Tu ne le ferais jamais.,Tu ne le ferais jamais
Then they were separatedpossibly foreverto save her life.,Puis ils ont été séparés  peut-être pour toujours  afin de lui sauver la vie.,"Puis ils ont été séparés, peut-être pour toujours, pour lui sauver la vie."
"""I would probably quake in fear for the rest of my life at the mere mention of your name,"" Devyn said dryly as he watched her return to glaring at him as she hastily toed off her slippers and kicked them aside, determined to make sure that he was properly terrified.","Je tremblerais probablement de peur pour le reste de ma vie à la simple mention de ton nom, dit Devyn d'un ton moqueur en la regardant se remettre à le fixer du regard tandis qu'elle enlevait précipitamment ses pantoufles et les écartait d'un coup de pied, bien décidée à s'assurer qu'il était bien terrifié.","« Je tremblerais probablement de peur pour le reste de ma vie rien qu'en entendant ton nom », dit Devyn d'un ton sec, tandis qu'il la regardait revenir vers lui et le fusiller du regard, retirant précipitamment ses pantoufles et les repoussant d'un coup de pied, bien décidée à s'assurer qu'il était bien terrifié."
"It was water, nothing more.","C'était de l'eau, rien de plus.","C'était juste de l'eau, rien de plus."
"""Probably.""",Probablement.,« Peut-être. »
"""Well, I don't think your brother would approve of you picking up and leaving the bar and everything you built here together.",Je ne pense pas que ton frère approuverait que tu prennes tes affaires et que tu quittes le bar et tout ce que vous avez construit ici ensemble.,"bon, je pense pas que ton frère serait d'accord pour que tu quittes le bar et tout ce qu'on a construit ensemble ici."
"Let's start tonight.""",Commençons ce soir.,Commençons dès ce soir
"I claim the right.""",Je revendique ce droit.,Je revendique ce droit
"In the new sunlight, he saw her body jerk and twitch.","Dans la nouvelle lumière du soleil, il vit son corps tressaillir et se contracter.","Dans la nouvelle lumière du soleil, il a vu son corps sursauter et trembler."
"She was by the ocean, making her own way, despite her mother.","Elle était au bord de l'océan, traçant son propre chemin, malgré sa mère.","Elle était au bord de l'océan, en train de tracer son propre chemin, malgré sa mère."
"""No, I'm not because I'm not going,"" Andi said with a firm nod as Uncle Shawn placed her back on her chair as she did her best to ignore the curious stares being sent her way by the kids that never seemed to appreciate her efforts to teach them the fundamentals of advanced algebra.","Non, parce que je n'irai pas en CM1, dit Andi en hochant fermement la tête alors qu'Oncle Shawn l'asseyait sur une chaise et qu'elle faisait son possible pour ignorer les regards curieux que lui lançaient les enfants qui n'appréciaient jamais ses efforts pour leur enseigner les bases en calcul avancé.","« Non, parce que je n'y vais pas », dit Andi en hochant fermement la tête tandis que l'oncle Shawn la reposait sur sa chaise. Elle faisait de son mieux pour ignorer les regards curieux que lui lançaient les enfants, qui ne semblaient jamais apprécier ses efforts pour leur enseigner les bases de l'algèbre avancée."
"Air whooshes out of my lungs and the fuzzy feeling in my head, which I hadn't even noticed, fades.","L'air s'échappe de mes poumons et la sensation de flou dans ma tête, que je n'avais même pas remarquée, s'estompe.","L'air sort de mes poumons et la sensation de confusion dans ma tête, que je n'avais même pas remarquée, s'estompe."
"""I was thinking,"" he says, rolling to his back after we catch our breath.","J'étais en train de réfléchir, dit-il en se mettant sur le dos après que nous ayons repris notre souffle.","« Je me disais », dit-il en se retournant sur le dos une fois qu'on a repris notre souffle."
"""I left the candle on the vanity, and there's a lighter beside it.""","J'ai laissé la bougie sur le meuble, et il y a un briquet à côté.","j'ai laissé la bougie sur la coiffeuse, et y a un briquet à côté"
"""This way I get some time between school and the work I do for you guys at the station.""","...Comme ça, j'ai un peu de temps entre l'école et le travail que je fais pour vous à la station radio.","comme ça, j'ai un peu de temps entre l'école et le boulot que je fais pour vous à la station"
I hope that you enjoyed reading Devyn and Andi's story as much as I enjoyed writing it.,J'espère que vous avez pris autant de plaisir à lire l'histoire de Devyn et Andi que j'ai eu à l'écrire.,J'espère que t'as aimé lire l'histoire de Devyn et Andi autant que j'ai aimé l'écrire.
Your mother sent me.,C'est ta mère qui m'envoie.,C'est ta mère qui m'a envoyé.
Like he's been comfortable in the pool but is ready to step into the ocean.,Comme s'il était assez à l'aise dans la piscine et qu'il était prêt à aller dans l'océan.,"C'est comme s'il était à l'aise dans la piscine, mais prêt à se jeter à l'eau."
She stared at the flickering candles.,Elle fixa les bougies vacillantes.,Elle regardait fixement les bougies qui clignotaient.
"I feel the stinging pressure of his teeth on the hardening nub before he sits back, running his hands along my chest and abdomen.","Je sens la morsure cuisante de ses dents sur mon téton qui durcit avant qu'il ne s'assoie, passant ses mains le long de ma poitrine et de mon abdomen.","Je sens la pression piquante de ses dents sur le bouton qui durcit avant qu'il ne se recule, passant ses mains sur ma poitrine et mon ventre."
John leans back in his chair and takes a swig of his beer.,John s'adosse à sa chaise et boit une gorgée de sa bière.,John se cale dans sa chaise et boit une gorgée de bière.
"""I thought we were more,"" he said.","Je pensais que nous étions plus que ça, dit-il.","« Je pensais qu'on était plus que ça », a-t-il dit."
She was crawling on top of him and laying her head on his chest with a soft sigh as he wrapped his arms around her and couldn't help but feel like she was exactly where she belonged.,"Elle se glissa sur lui et posa sa tête sur sa poitrine en soupirant doucement, tandis qu'il l'entourait de ses bras et ne pouvait s'empêcher de penser qu'elle était exactement à sa place.","Elle était allongée sur lui, la tête posée sur sa poitrine, et poussait un petit soupir. Il l'enlaçait et ne pouvait s'empêcher de penser qu'elle était exactement à sa place."
I have to jog to catch up.,Je dois trottiner pour le rattraper.,Je dois courir pour rattraper mon retard.
"If we don't hurry, we're going to get caught in the dark.""","Si on ne se dépêche pas, on va se faire surprendre par l'obscurité.","Si on se dépêche pas, on va se retrouver dans le noir"
Mari's tail twitched in excitement.,La queue de Mari s'agita sous l'effet de l'excitation.,La queue de Mari remuait d'excitation.
Were better left forgotten.,Il vaut mieux les oublier.,Il vaut mieux les oublier.
"I should've told you about Inna, but I didn't expect to see him here on the islandnot after the storm, and certainly not while I was with you.","J'aurais dû te parler d'Inna, mais je ne m'attendais pas à le voir ici sur l'île  pas après la tempête, et certainement pas pendant que j'étais avec toi. Je ne l'épouserai pas, quoi qu'il arrive.","J'aurais dû te parler d'Inna, mais je ne pensais pas le croiser ici sur l'île, surtout pas après la tempête, et encore moins pendant que j'étais avec toi."
"""Yeah?"" I'm logging my playlist, trying to keep my focus off our proximity to one another.","J'enregistre ma playlist, en essayant de ne pas me concentrer sur notre proximité.","« Ouais ? » Je suis en train de noter ma playlist, essayant de ne pas penser au fait qu'on est tout près l'un de l'autre."
"By the time enough merfolk had gathered to save her, the pirate ship was gone, harbored somewhere, no doubt.","Le temps que suffisamment d'habitants des mers se rassemblent pour la sauver, le bateau pirate avait disparu, sans doute caché quelque part.","Quand assez de sirènes se sont rassemblées pour la sauver, le bateau pirate avait disparu, sûrement caché quelque part."
Did her mother know about the revenge plot?,Sa mère était-elle au courant du projet de vengeance ?,Sa mère était au courant du plan de vengeance ?
"""You don't know that,"" came the sadly mumbled reply that had his lips twitching.","Tu n'en sais rien, marmonnant tristement la jeune femme entre ses lèvres, ce qui le fit sourire","« Tu n'en sais rien », répondit-il d'une voix triste, les lèvres tremblantes."
"He'd never understood why Devyn didn't play the same game, probably never would, and now that he knew about Andi...","Il n'avait jamais compris pourquoi Devyn ne jouait pas le même jeu, pourquoi il ne le ferait probablement jamais, et maintenant qu'il savait pour Andi...","Il n'avait jamais compris pourquoi Devyn ne jouait pas le même jeu, et ne le comprendrait probablement jamais. Maintenant qu'il savait pour Andi..."
The urge to possess her thrummed through him to the point he could barely think.,L'envie de la posséder l'envahissait à tel point qu'il avait du mal à réfléchir.,L'envie de la posséder le prenait tellement qu'il pouvait à peine réfléchir.
"""You should check the supply closet.""",Tu devrais vérifier le placard à fournitures.,tu devrais jeter un œil dans le placard à fournitures
I'm telling you what I need.,Je te dis ce dont j'ai besoin.,Je te dis ce dont j'ai besoin.
Want to get to know you.,Je veux apprendre à te connaître.,J'ai envie de te connaître.
His face brightens.,Son visage s'éclaire.,Son visage s'illumine.
Why would he risk that for either of them?,Pourquoi risquerait-il cela pour l'un ou l'autre ?,Pourquoi prendrait-il ce risque pour l'un ou l'autre d'entre eux ?
Best not to think about that at all.,Mieux valait ne pas y penser.,Mieux vaut ne pas y penser du tout.
"There are several articles about the football team, one about the debate team.","Il y a plusieurs articles sur l'équipe de football, un sur l'équipe de débat.","Il y a plusieurs articles sur l'équipe de foot, et un sur l'équipe de débat."
"He didn't move, his gaze fixed on the bar ceiling.","Il ne bougea pas, le regard fixé sur le plafond du bar.","Il ne bougeait pas, les yeux rivés sur le plafond du bar."
I spit this out like some jilted lover.,Je crache ça comme un amoureux éconduit.,Je crache ça comme un amoureux délaissé.
"I've paired it with a soft pair of black corduroys that he hasn't seen yet, but I thank him for the compliment.","Je l'ai associé à un pantalon en velours côtelé noir qu'il n'a pas encore vu, mais je le remercie pour le compliment.","Je l'ai associé à un pantalon en velours côtelé noir tout doux qu'il n'a pas encore vu, mais je le remercie pour le compliment."
"He was so sure.""",Il en était si sûr.,Il était tellement sûr de lui
"To his credit, he slaps a hand over his mouth.","À sa décharge, il porte une main sur sa bouche.","À son crédit, il met sa main devant sa bouche."
Would he ever get control of the rage inside him?,Parviendra-t-il un jour à contrôler la rage qui l'habitait ?,Est-ce qu'il arriverait un jour à maîtriser la rage qu'il avait en lui ?
His stomach knotted at the doubt that swirled around him.,Son estomac se noua devant le doute qui l'envahissait.,Son estomac s'est noué à cause des doutes qui tourbillonnaient autour de lui.
She should slip under and swim away.,Elle devrait se glisser sous l'eau et s'enfuir à la nage.,Elle devrait se glisser dessous et partir à la nage.
"""Well, surely he had it painted before he died.""",Il l'a sûrement fait peindre avant de mourir.,"« Eh bien, il l'a sûrement fait peindre avant de mourir. »"
Talking about my childhood illicits foreign sensations.,Parler de mon enfance provoque des sensations étranges.,"Quand je parle de mon enfance, ça me fait des sensations bizarres."
"He wasn't sure what hurt more, his head or his ribs, but at that moment, he wished the asshole that attacked him had finished the fucking job and put him out of his misery.","Mais, à cet instant, il aurait aimé que le connard qui l'avait agressé ait fini le boulot et mette fin à ses souffrances.","Il ne savait pas trop ce qui lui faisait le plus mal, sa tête ou ses côtes, mais là, il aurait préféré que le connard qui l'avait attaqué ait fini le boulot et l'ait mis hors d'état de nuire."
He tasted the zinc that his mother had insisted he put on his nose and that always melted and dribbled down into his mouth.,Il goûta la crème solaire que sa mère insistait pour qu'il mette sur son nez et qui finissait par fondre et couler dans sa bouche.,Il a goûté le zinc que sa mère avait insisté pour qu'il mette sur son nez et qui fondait toujours et coulait dans sa bouche.
She stood between him and the ocean like a lifeguard station or lighthouse.,"Elle se tenait entre lui et l'océan, comme un poste de sauvetage ou un phare.","Elle se tenait entre lui et l'océan, comme un poste de secours ou un phare."
"""Nothing is stopping you from moving the carpentry to part-time, maybe on the weekends or something.""","Rien ne t'empêche de passer la menuiserie à temps partiel, peut-être le week-end ou quelque chose comme ça.","rien ne t'empêche de faire de la menuiserie à temps partiel, genre le week-end ou un truc comme ça"
That really would have been too much to take.,Cela aurait été vraiment trop dur à supporter.,Ça aurait vraiment été trop dur à supporter.
"""No,"" he says, grabbing my hand.","Non, dit-il en m'attrapant la main.","« Non », dit-il en me prenant la main."
I plaster on a smile and move away from them as he hands me a pint glass filled with a golden liquid.,J'esquisse un sourire et m'éloigne d'elles tandis qu'il me tend un verre rempli d'un liquide doré.,Je fais un grand sourire et je m'éloigne d'eux pendant qu'il me tend un verre à bière rempli d'un liquide doré.
Chase had told her they would get through the storm togetherthat was the sweet and protective man she loved.,Chase lui avait dit qu'ils traverseraient la tempête ensemble  c'était l'homme doux et protecteur qu'elle aimait.,Chase lui avait dit qu'ils traverseraient la tempête ensemble : c'était l'homme gentil et protecteur qu'elle aimait.
Mine is practically immobilized inside his grasp.,La mienne est pratiquement immobilisée dans son emprise.,Le mien est presque coincé dans sa main.
"After a last look around, she flipped off the shop's main lights.","Après avoir jeté un dernier coup d'œil autour d'elle, elle éteignit les lumières principales de la boutique.","Après avoir jeté un dernier coup d'œil autour d'elle, elle a éteint les lumières principales du magasin."
He wanted to hold her close and listen to her laughter and share in her happiness.,"Il voulait la serrer contre lui, écouter ses rires et partager son bonheur.","Il voulait la serrer dans ses bras, écouter son rire et partager son bonheur."
"She stepped up into the cart, tipping it forward and setting it swaying and creaking.","Elle monta dans la cabine, la faisant basculer vers l'avant et la faisant osciller et grincer.","Elle est montée dans la charrette, la faisant basculer vers l'avant et la faisant se balancer et grincer."
"And your mother is holding up his end of the bargain, as she should.","Et ta mère tient sa part du marché, comme il se doit.","Et ta mère respecte sa part du marché, comme elle le devrait."
"""Did I mention that I really need to use the bathroom?"" she asked, sending the bathroom a hopeful look.",Ai-je mentionné que j'ai vraiment besoin d'aller aux toilettes ?,« Est-ce que j'ai dit que j'avais vraiment besoin d'aller aux toilettes ? » demanda-t-elle en jetant un regard plein d'espoir vers la salle de bains.
I let you rescue him.,Je t'ai laissé le sauver.,Je t'ai laissé le sauver.
But he's looking at me like it's the first time.,Mais il me regarde comme si c'était la première fois.,Mais il me regarde comme si c'était la première fois.
"I have better things to do than to waste my time worrying about what other people think.""",J'ai mieux à faire que de perdre mon temps à savoir ce que pensent les autres.,J'ai mieux à faire que de perdre mon temps à me soucier de ce que les autres pensent
The smile he gives me leaves me uncharacteristically breathless.,Le sourire qu'il m'adresse me laisse sans voix.,"Le sourire qu'il m'adresse me laisse sans voix, ce qui n'est pas dans mes habitudes."
"I can totally picture John Burton as a teacher, he has the personality for it.","Je peux tout à fait imaginer John Burton comme professeur, il a la personnalité qu'il faut.","Je vois super bien John Burton comme prof, il a vraiment le profil pour ça."
"""We'll have a big party before I close for good.",Nous ferons une grande fête avant de fermer pour de bon.,on va faire une grande fête avant que je ferme pour de bon.
Hurricane Giselle was nothing to fool around with.,L'ouragan Giselle n'était pas à prendre à la légère.,"L'ouragan Giselle, c'était pas une rigolade."
"Oh, that couldn't be good, she thought when she saw the puddle forming on the floor around her.","Oh, ça ne présageait rien de bon, pensa-t-elle en voyant la flaque qui se formait sur le sol autour d'elle.","Oh, ça ne présageait rien de bon, pensa-t-elle en voyant la flaque se former sur le sol autour d'elle."
"We can duck out for a little while, yeah?""","On peut s'éclipser un moment, d'accord ?","On peut se barrer un moment, non ?"
"I have to make sure the bar's safe first.""",Je dois d'abord m'assurer que le bar est sécurisé.,Je dois d'abord m'assurer que le bar est sécurisé
No more...anything.,Plus rien.,Plus rien... du tout.
"Maybe some Joy Division, a little Sigur Ros, a bit of Bilal, definitely James Blake.","Peut-être un peu de Joy Division, un peu de Sigur Ros, un peu de Bilal, certainement du James Blake.","Peut-être un peu de Joy Division, un peu de Sigur Ros, un peu de Bilal, et bien sûr James Blake."
Want to know how those wine-stained lips of yours might taste.,Connaître le goût de tes lèvres colorées par le vin.,Tu veux savoir quel goût pourraient avoir tes lèvres tachées de vin ?
"In the peace and calm of the eye of life's ever-growing hurricane, they'd found a moment.","Dans la paix et le calme de l'œil de l'ouragan de la vie, ils avaient trouvé un moment.","Dans le calme et la tranquillité de l'œil du cyclone de la vie, ils avaient trouvé un moment de répit."
"At least she had everything that she needed, Andi thought as she reached down and grabbed her iPad and the notebook that she'd been working on along with a carefully select assortment of pens that she'd helped herself to from the supply closet at work, only to realize that she'd left her phone at home.","Au moins, elle avait tout ce dont elle avait besoin, pensa Andi en se penchant pour attraper son iPad et le carnet sur lequel elle travaillait, ainsi qu'un assortiment de stylos soigneusement sélectionnés qu'elle s'était procuré dans le placard à fournitures du bureau, avant de réaliser qu'elle avait laissé son téléphone à la maison.","Au moins, elle avait tout ce dont elle avait besoin, pensa Andi en se baissant pour attraper son iPad, le cahier sur lequel elle bossait et un assortiment de stylos soigneusement sélectionnés qu'elle avait pris dans le placard à fournitures du boulot, avant de se rendre compte qu'elle avait laissé son téléphone à la maison."
It wasn't going to stop him from making sure that the little bastard paid for what he did to Andi.,Ça ne l'empêcherait pas de s'assurer que ce petit salaud paie pour ce qu'il a fait à Andi.,Ça ne l'empêcherait pas de s'assurer que ce petit salaud paie pour ce qu'il a fait à Andi.
"""I'm going to run and see if I can get the fire department.",Je vais courir et voir si je peux appeler les pompiers.,je vais courir voir si je peux trouver les pompiers.
It's suddenly the most important thing in the world.,C'est soudain la chose la plus importante au monde.,"Tout à coup, c'est devenu le truc le plus important au monde."
It's been a rough twenty-four hours.,Les dernières vingt-quatre heures ont été difficiles.,Ces dernières vingt-quatre heures ont été super dures.
"The shop was the first thing she could truly call her own, and now it was at risk.","Le magasin était la première chose qu'elle pouvait vraiment appeler la sienne, et maintenant il était en danger.","La boutique était la première chose qu'elle pouvait vraiment considérer comme sienne, et maintenant elle était en danger."
She would certainly bear Chase's kids.,Elle porterait certainement les enfants de Chase.,Elle aurait sûrement les enfants de Chase.
"""It's going to be very cold out there, Miss Dawson,"" Devyn said, watching as his favorite place on earth was slowly revealed.","Il va faire très froid dehors, Mlle Dawson, dit Devyn, en regardant son endroit préféré sur Terre se dévoiler progressivement.","« Il va faire super froid dehors, Mlle Dawson », dit Devyn en regardant son endroit préféré au monde se dévoiler petit à petit."
"She drew her knees up and circled them with her arms, squeezing as tight as she could.","Elle remonta ses genoux et les entoura de ses bras, serrant aussi fort qu'elle le pouvait.","Elle a ramené ses genoux vers elle et les a enlacés avec ses bras, serrant aussi fort qu'elle pouvait."
This stops me mid-chew.,Cela m'arrête en plein milieu de  ma mastication.,Ça m'arrête net en plein milieu d'une bouchée.
The sea beckoned her.,La mer l‘appelait.,La mer l'appelait.
"I'm shaking, held up by John, who doesn't seem to have full control over his body either.","Je tremble, soutenu par John qui, lui non plus, ne semble pas avoir le contrôle total de son corps.","Je tremble, soutenu par John, qui a l'air de ne pas trop contrôler son corps non plus."
My breath leaves me.,Mon souffle me quitte.,Je reste sans voix.
"He wasn't muscular in the same way as Chase, but thick and solid.","Il n'était pas aussi musclé que Chase, mais il était fort et massif.","Il n'était pas aussi musclé que Chase, mais plutôt costaud et solide."
"What I'm about to do is invasive, I know, but...","Ce que je vais faire est invasif, je le sais, mais...","Ce que je vais faire est un peu intrusif, je sais, mais..."
"""I see,"" Devyn murmured, applying the last bandage.","Je vois, murmura Devyn en appliquant le dernier bandage.","« Je vois », marmonna Devyn en mettant le dernier bandage."
"""Let me talk.""",Laisse-moi parler.,laisse-moi parler
"""Look at the domain.",Regarde le nom de domaine.,regarde le domaine.
"He took a deep breath, focusing on the inhale, and then the exhale.","Il inspira profondément, se concentrant sur l'inspiration, puis sur l'expiration.","Il a pris une grande bouffée d'air, en se concentrant d'abord sur l'inspiration, puis sur l'expiration."
"I stretch out beside him, draw his leg up and drape it over mine.","Je m'étire à côté de lui, remonte sa jambe et la fait  passer par-dessus la mienne.","Je m'allonge à côté de lui, je prends sa jambe et je la mets sur la mienne."
"""They're mostly in awe of you,"" he says, his voice taking on that honeyed timber he'd had when he asked me out on this date.","Ils sont surtout en admiration devant toi, dit-il, sa voix prenant ce timbre mielleux qu'il avait lorsqu'il m'a demandé de sortir avec lui.","« Ils sont pour la plupart impressionnés par toi », dit-il, sa voix prenant ce ton mielleux qu'il avait quand il m'a invitée à sortir."
"My style could be called dormitory chic, my flat furnished with a collection of mismatched pieces acquired over the life of my residency.","Mon style pourrait être qualifié de dortoir chic, mon appartement étant meublé d'une collection de pièces dépareillées acquises depuis que j'ai signé le bail.","Mon style, on pourrait le dire « chic dortoir », mon appart est meublé avec un tas de trucs dépareillés que j'ai ramassés pendant que je vivais là."
"""Yes, daughter.","Oui, ma fille.","ouais, ma fille."
"My ass, my thighs, the muscles of my back melt under John's ministrations.","Mon cul, mes cuisses, les muscles de mon dos fondent sous les doigts de John.","Mes fesses, mes cuisses, les muscles de mon dos fondent sous les soins de John."
"He is so fucking beautiful, my heart hurts.","Il est si beau, putain, que j'en ai mal au cœur.",Il est tellement beau que j'en ai mal au cœur.
"""You're gorgeous,"" John breathes, leaning forward.","Tu es magnifique, souffle John en se penchant en avant.","« T'es magnifique », murmure John en se penchant vers elle."
This is why I'm not cut out for relationships.,Voilà pourquoi je ne suis pas fait pour les relations.,C'est pour ça que je ne suis pas fait pour les relations amoureuses.
"""How the hell did we miss that?""",Comment diable avons-nous pu rater ça,« Comment on a pu rater ça ? »
"She began to sob gently, covering her face with her hands.","Elle se mit à sangloter doucement, se couvrant le visage de ses mains.","Elle s'est mise à sangloter doucement, en se couvrant le visage avec ses mains."
If he got stranded on the island during the storm...,S'il se retrouvait bloqué sur l'île pendant la tempête...,S'il s'est retrouvé coincé sur l'île pendant la tempête...
Not to accept that he can see me so clearly.,De ne pas accepter qu'il lise en moi si clairement.,Je n'accepte pas qu'il me voie aussi clairement.
His fingers were sore and stiff from the wood's rough assault.,Ses doigts étaient endoloris et raides à cause de la rugosité du bois.,Ses doigts étaient endoloris et raides à cause de l'agression brutale du bois.
"You should have been paying attention to the news.""",Tu aurais dû faire attention aux informations.,T'aurais dû suivre l'actu
"""Yes,"" he bit out, watching as her lips twitched.","Oui, dit-il sèchement en regardant les lèvres de la jeune femme se contracter.","« Oui », dit-il sèchement, en regardant ses lèvres trembler."
I laugh and shake my head.,Je ris et secoue la tête.,Je rigole et je secoue la tête.
"But anyway, Amelia's country sent a team to murder her and her human lover.""","Mais de toute façon, le pays d'Amelia a envoyé une équipe pour l'assassiner, elle et son amant humain.","Mais bon, le pays d'Amelia a envoyé une équipe pour la tuer, elle et son mec humain"
